id,srno,eventDate,subject_title,debateType,sizeOfVideo,videoUrl
3354,2425,2023-08-07,"Passing The Digital Personal Data Protection Bill, 2023 in Lok Sabha",Government Bills,60 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2237-07-08-2023.mp4?source=membersrsmedia
3355,2425,2023-08-02,Question replied in Lok Sabha during Question Hour,Question Hour,75 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2052-02-08-2023.mp4?source=membersrsmedia
3356,2425,2023-08-02,Question Replied during Question Hour in Lok Sabha,Question Hour,114 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2053-02-08-2023.mp4?source=membersrsmedia
3357,2425,2023-07-26,Reply of the Question given by Honorable Minister during Question Hour in Lok Sabha,Question Hour,84 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1923-26-07-2023.mp4?source=membersrsmedia
3358,2425,2023-02-08,Reply of the Unstarred Question by Honorable Minister of Electronics and IT,Question Hour,419 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1428-08-02-2023.mp4?source=membersrsmedia
3359,2425,2022-12-23,Papers laid on the Table - Statement by the Honorable Minister,Papers laid on the Table,10 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1201-23-12-2022.mp4?source=membersrsmedia
3360,2425,2022-12-16,Reply of Honorable Minister on Parliamentary Question,Question Hour,136 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video733-16-12-2022.mp4?source=membersrsmedia
3361,2425,2022-12-14,Question Hour,Question Hour,95 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video571-14-12-2022.mp4?source=membersrsmedia
3362,2425,2022-12-14,Question Hour .,Question Hour,71 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video572-14-12-2022.mp4?source=membersrsmedia
3363,2425,2022-12-14,Question Hour..,Question Hour,140 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video573-14-12-2022.mp4?source=membersrsmedia
3364,2425,2022-12-14,Question Hour...,Question Hour,69 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video574-14-12-2022.mp4?source=membersrsmedia
3365,2425,2022-12-14,Question Hour....,Question Hour,106 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video575-14-12-2022.mp4?source=membersrsmedia
3366,2425,2022-12-09,Question Hour,Question Hour,90 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video288-09-12-2022.mp4?source=membersrsmedia
3367,2425,2022-08-09,"Passing of Central Universities Amendment Bill, 2022",Government Bills,100 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video19-09-08-2022.mp4?source=membersrsmedia
3368,2425,2022-08-08,"Central Universities Amendment  Bills, 2022",Government Bills,149 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7-08-08-2022.mp4?source=membersrsmedia
3369,2425,2022-08-08,"Central Universities Amendment Bill, 2022",Government Bills,198 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video18-08-08-2022.mp4?source=membersrsmedia
3370,2425,2022-08-08,Reply of Honorable Minister Shri Ashwini Waishnaw on Central Universities (Amendment) Bill 2022,Statement by Minister,198 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1316-08-08-2022.mp4?source=membersrsmedia
3371,2425,2022-08-08,Statement by Honorable Minister Shri Ashwini Vaishnaw regarding The Central Universities (Amendment) Bill 2022,Statement by Minister,149 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1327-08-08-2022.mp4?source=membersrsmedia
3372,2426,2025-12-04,Reply by Honourable Minister in Rajya Sabha,Question Hour,659 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video8809-12-04-2025.mp4?source=membersrsmedia
3373,2426,2025-07-30,Discussion on Operation Sindoor 2,Business of House,595 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video8065-07-30-2025.mp4?source=membersrsmedia
3374,2426,2025-07-30,Discussion on Operation Sindoor 3,Business of House,626 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video8145-07-30-2025.mp4?source=membersrsmedia
3375,2426,2025-07-28,Discussion on Operation Sindoor.,Discussion Under Rule 193,809 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video8010-07-28-2025.mp4?source=membersrsmedia
3376,2426,2025-03-28,Reply by Honourable Minister in Lok Sabha,Question Hour,230 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7539-03-28-2025.mp4?source=membersrsmedia
3377,2426,2025-03-27,Hon. Minister replied the Question,Question Hour,175 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7470-03-27-2025.mp4?source=membersrsmedia
3378,2426,2025-02-06,Statement by Minister,Statement by Minister,10 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6353-02-06-2025.mp4?source=membersrsmedia
3379,2426,2025-02-06,Reply by Minister(Question Hour),Question Hour,152 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6360-02-06-2025.mp4?source=membersrsmedia
3380,2426,2025-02-06,Deportation of Indians from United States of America,Statement by Minister,96 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6383-02-06-2025.mp4?source=membersrsmedia
3381,2426,2025-02-06,Deportation of Indians from United States of America 1,Statement by Minister,107 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6388-02-06-2025.mp4?source=membersrsmedia
3382,2426,2025-02-06,Statement made in Lok-Sabha by Hon. Minister regarding deportation of Indian from USA.,Statement by Minister,82 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6397-02-06-2025.mp4?source=membersrsmedia
3383,2426,2024-12-13,Reply by the Honourable Minister 1,Question Hour,246 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6044-12-13-2024.mp4?source=membersrsmedia
3384,2426,2024-12-13,Reply by the Honourable Minister 2,Question Hour,272 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6045-12-13-2024.mp4?source=membersrsmedia
3385,2426,2024-12-05,Reply by minister(Question hour),Question Hour,200 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5876-12-05-2024.mp4?source=membersrsmedia
3386,2426,2024-12-04,Statement by Minister,Statement by Minister,310 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5811-12-04-2024.mp4?source=membersrsmedia
3387,2426,2024-12-03,Statement by Hon Minister in Lok Sabha,Statement by Minister,369 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5721-12-03-2024.mp4?source=membersrsmedia
3388,2426,2024-08-09,Hon. Minister in Lok-Sabha replied the Questions during Question Hour.,Question Hour,227 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5627-08-09-2024.mp4?source=membersrsmedia
3389,2426,2024-08-06,About Bangladesh situation,Statement by Minister,86 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5393-08-06-2024.mp4?source=membersrsmedia
3390,2426,2024-08-06,Regarding Bangladesh situation in Rajya Sabha,Statement by Minister,84 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5394-08-06-2024.mp4?source=membersrsmedia
3391,2426,2023-12-07,Honorable Minister replied the Questions in Rajya Sabha,Question Hour,184 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3007-12-07-2023.mp4?source=membersrsmedia
3392,2426,2023-08-03,Question replied during Question Hour in Rajya Sabha,Question Hour,16 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2178-03-08-2023.mp4?source=membersrsmedia
3393,2426,2023-07-27,Statement by Minister,Statement by Minister,430 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1929-27-07-2023.mp4?source=membersrsmedia
3394,2426,2023-07-27,Statement by Minister in Lok Sabha,Statement by Minister,365 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1942-27-07-2023.mp4?source=membersrsmedia
3395,2426,2023-02-09,Question Hour,Question Hour,138 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1503-09-02-2023.mp4?source=membersrsmedia
3396,2426,2022-12-21,"The Maritime Anti-Piracy Bill, 2022",Government Bills,64 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1035-21-12-2022.mp4?source=membersrsmedia
3397,2426,2022-12-21,"The Maritime Anti-Piracy Bill, 2022 1",Government Bills,301 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1055-21-12-2022.mp4?source=membersrsmedia
3398,2426,2022-12-07,Latest Development In Indias Foreign Polity,Statement by Minister,240 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video135-07-12-2022.mp4?source=membersrsmedia
3399,2426,2022-12-07,Latest Development In Indias Foreign Polity ......,Statement by Minister,295 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video136-07-12-2022.mp4?source=membersrsmedia
3400,2426,2022-08-01,The Weapons of Mass Destruction and their Destruction System (Prohibition of Unlawful Activities) Amendment Bill 2022,Government Bills,84 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1213-01-08-2022.mp4?source=membersrsmedia
3401,2426,2022-08-01,Voting and Passing of The Weapons of Mass Destruction and their Destruction System (Prohibition of Unlawful Activities) Amendment Bill 2022,Government Bills,47 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1215-01-08-2022.mp4?source=membersrsmedia
3402,2426,2022-07-19,DS Prohibition of Unlawful Activities Amendment  Bill 2022,Government Bills,126 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video45-19-07-2022.mp4?source=membersrsmedia
3403,2427,2023-08-11,Valedictory Reference,Valedictory Reference,78 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2511-11-08-2023.mp4?source=membersrsmedia
3404,2427,2023-08-10,Reports of the Department-related Parliamentary Standing Committee on Commerce laid on the Table,Papers laid on the Table,7 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2445-10-08-2023.mp4?source=membersrsmedia
3405,2427,2023-08-10,"Report of the Department related Parliamentary Standing Committee on Transport, Tourism and Culture laid on the Table",Papers laid on the Table,15 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2447-10-08-2023.mp4?source=membersrsmedia
3406,2427,2023-08-03,Matter raised with the permission of the Chair,Special Mention,38 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2152-03-08-2023.mp4?source=membersrsmedia
3407,2427,2023-08-02,"The Mines and Minerals (Development and Regulation) Amendment Bill, 2023",Government Bills,78 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2108-02-08-2023.mp4?source=membersrsmedia
3408,2427,2023-07-28,Committee Report,Papers laid on the Table,6 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1964-28-07-2023.mp4?source=membersrsmedia
3409,2427,2023-07-25,The Constitution (Scheduled Tribes) Order (Fifth Amendment) Bill 2022.,Government Bills,37 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1875-25-07-2023.mp4?source=membersrsmedia
3410,2427,2023-07-24,Reports laid on the table,Papers laid on the Table,7 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1809-24-07-2023.mp4?source=membersrsmedia
3411,2427,2023-02-10,Question Hour,Question Hour,18 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1559-10-02-2023.mp4?source=membersrsmedia
3412,2427,2022-12-23,Papers laid on the Table,Papers laid on the Table,13 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1200-23-12-2022.mp4?source=membersrsmedia
3413,2427,2022-12-22,Question Hour,Question Hour,10 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1127-22-12-2022.mp4?source=membersrsmedia
3414,2427,2022-12-22,Question Hour.,Question Hour,26 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1143-22-12-2022.mp4?source=membersrsmedia
3415,2427,2022-12-21,Special Mention,Special Mention,30 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video994-21-12-2022.mp4?source=membersrsmedia
3416,2427,2022-12-21,Special Mention 1,Special Mention,25 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1076-21-12-2022.mp4?source=membersrsmedia
3417,2427,2022-12-13,The Constitution (Scheduled Castes and Scheduled Tribes) Order (Second Amendment) Bill 2022.,Government Bills,38 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video492-13-12-2022.mp4?source=membersrsmedia
3418,2428,2025-07-24,Farewell to the Retiring Members,Submission by members,132 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7972-07-24-2025.mp4?source=membersrsmedia
3419,2428,2025-04-01,Scheme for Special Assistance to States for Capital Expenditure,Question Hour,62 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7626-04-01-2025.mp4?source=membersrsmedia
3420,2428,2025-03-26,Matters raised with the permission of of the chair,Special Mention,45 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7386-03-26-2025.mp4?source=membersrsmedia
3421,2428,2025-03-21,Discussion on the working of Ministry of Home Affairs,Union Budget,603 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7300-03-21-2025.mp4?source=membersrsmedia
3422,2428,2025-03-17,Question Hour,Question Hour,49 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7007-03-17-2025.mp4?source=membersrsmedia
3423,2428,2025-02-03,Motion of thanks to the President Address,Motion of thanks to the President's Address,258 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6250-02-03-2025.mp4?source=membersrsmedia
3424,2428,2024-12-04,Matters raised with the permission of the Chair,Special Mention,37 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5783-12-04-2024.mp4?source=membersrsmedia
3425,2428,2024-08-09,Special Mention,Special Mention,47 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5621-08-09-2024.mp4?source=membersrsmedia
3426,2428,2024-08-08,Special Mention,Special Mention,41 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5589-08-08-2024.mp4?source=membersrsmedia
3427,2428,2024-08-02,Special mention,Special Mention,33 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5203-08-02-2024.mp4?source=membersrsmedia
3428,2428,2024-08-01,Demands for grants(Agriculture),Union Budget,132 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5161-08-01-2024.mp4?source=membersrsmedia
3429,2428,2024-07-31,Question Hour,Question Hour,30 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5038-07-31-2024.mp4?source=membersrsmedia
3430,2428,2024-07-31,Special Mention,Special Mention,35 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5065-07-31-2024.mp4?source=membersrsmedia
3431,2428,2024-07-26,Question Hour,Question Hour,42 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4757-07-26-2024.mp4?source=membersrsmedia
3432,2428,2024-07-25,Question Hour,Question Hour,177 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4649-07-25-2024.mp4?source=membersrsmedia
3433,2428,2024-07-25,Matters raised with the permission of the Chair,Special Mention,52 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4680-07-25-2024.mp4?source=membersrsmedia
3434,2428,2024-07-22,Special Mention,Special Mention,24 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4523-07-22-2024.mp4?source=membersrsmedia
3435,2428,2024-02-07,Matters raised with the permission of the Chair,Special Mention,38 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4015-02-07-2024.mp4?source=membersrsmedia
3436,2428,2024-02-07,"General Discussion on The Interim Union Budget, 2024-25 and General Discussion on The Interim Budget of Union Territory of Jammu and Kashmir, 2024-25",Union Budget,101 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4048-02-07-2024.mp4?source=membersrsmedia
3437,2428,2024-02-06,"The Constitution (Scheduled Tribes) Order (Amendment) Bill, 2024",Government Bills,67 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3931-02-06-2024.mp4?source=membersrsmedia
3438,2428,2024-02-02,Matter raised with the permission of the Chair,Special Mention,30 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3728-02-02-2024.mp4?source=membersrsmedia
3439,2428,2024-02-02,Special Mention,Special Mention,31 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3799-02-02-2024.mp4?source=membersrsmedia
3440,2428,2023-12-08,Private Members Bill,Private Member's Bill,10 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3147-12-08-2023.mp4?source=membersrsmedia
3441,2428,2023-12-08,"Private Members Bill - The Constitution (Amendment) Bill, 2022 (amendment of article 153 and substitution of articles 155 and 156)",Private Member's Bill,57 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3164-12-08-2023.mp4?source=membersrsmedia
3442,2428,2023-12-07,Short Duration Discussion on the Economic Situation in the Countary,Discussion Under Rule 193,124 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3041-12-07-2023.mp4?source=membersrsmedia
3443,2428,2023-12-07,Spceical Mention,Special Mention,36 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3054-12-07-2023.mp4?source=membersrsmedia
3444,2428,2022-12-21,Special Mention,Special Mention,30 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video983-21-12-2022.mp4?source=membersrsmedia
3445,2428,2022-12-13,The Constitution (Scheduled Castes and Scheduled Tribes) Order (Second Amendment) Bill 2022.,Government Bills,67 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video487-13-12-2022.mp4?source=membersrsmedia
3446,2429,2025-07-24,Farewell to the Retiring Members,Submission by members,133 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7976-07-24-2025.mp4?source=membersrsmedia
3447,2429,2024-08-09,Special Mention,Special Mention,25 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5619-08-09-2024.mp4?source=membersrsmedia
3448,2429,2024-02-07,Special Mention,Special Mention,3 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4084-02-07-2024.mp4?source=membersrsmedia
3449,2431,2025-12-18,Discussion on The Sustainable Harnessing and Amendment of Nuclear Energy for Transforming India Bill 2025,Government Bills,155 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9807-12-18-2025.mp4?source=membersrsmedia
3450,2431,2025-12-16,Matters raised with the permission of the Chair,Special Mention,60 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9544-12-16-2025.mp4?source=membersrsmedia
3451,2431,2025-12-12,Discussion on Amendment and adding new Article 21B for early Childhood development mechanism,Private Member's Resolution,172 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9503-12-12-2025.mp4?source=membersrsmedia
3452,2431,2025-12-03,Discussion on Prevention and control of water pollution Amendment Act 2024 in Manipur,Statutory resolution and Government Bill,215 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video8739-12-03-2025.mp4?source=membersrsmedia
3453,2431,2025-07-31,Matters raised with the permission of Chair regarding SIR of Election Commission Scheme,Special Mention,29 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video8137-07-31-2025.mp4?source=membersrsmedia
3454,2431,2025-07-25,Oath Taking,Oath Taking,64 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7988-07-25-2025.mp4?source=membersrsmedia
3455,2431,2025-07-24,Farewell to the Retiring Members,Submission by members,161 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7977-07-24-2025.mp4?source=membersrsmedia
3456,2431,2025-04-03,Question Hour,Question Hour,106 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7767-04-03-2025.mp4?source=membersrsmedia
3457,2431,2025-03-28,"The Protection of Interests in Aircraft Objects Bill, 2025",Government Bills,111 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7559-03-28-2025.mp4?source=membersrsmedia
3458,2431,2025-03-26,Matters raised with the permission of of the chair,Special Mention,52 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7387-03-26-2025.mp4?source=membersrsmedia
3459,2431,2025-03-19,Matters raised with the permission of Chair,Special Mention,52 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7183-03-19-2025.mp4?source=membersrsmedia
3460,2431,2025-03-17,The Appropriation Bill-2025,Union Budget,72 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7057-03-17-2025.mp4?source=membersrsmedia
3461,2431,2025-02-11,Question Hour,Question Hour,18 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6622-02-11-2025.mp4?source=membersrsmedia
3462,2431,2025-02-10,General Discussion on the Union Budget 2025-26,Union Budget,93 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6575-02-10-2025.mp4?source=membersrsmedia
3463,2431,2025-02-07,Private Members Bill,Private Member's Bill,49 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6464-02-07-2025.mp4?source=membersrsmedia
3464,2431,2024-12-17,Discussion on 75th years of Constitution of India,Business of House,82 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6117-12-17-2024.mp4?source=membersrsmedia
3465,2431,2024-12-06,Matters raised with the permission of the Chair,Special Mention,49 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5941-12-06-2024.mp4?source=membersrsmedia
3466,2431,2024-12-05,Question hour,Question Hour,54 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5873-12-05-2024.mp4?source=membersrsmedia
3467,2431,2024-08-07,Union budget 2024-2025,Union Budget,143 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5478-08-07-2024.mp4?source=membersrsmedia
3468,2431,2024-08-05,Amendment in  Insolvency codes in state owned banks,Special Mention,43 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5323-08-05-2024.mp4?source=membersrsmedia
3469,2431,2024-07-31,Question Hour,Question Hour,64 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5042-07-31-2024.mp4?source=membersrsmedia
3470,2431,2024-07-30,Question Hour,Question Hour,4 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4931-07-30-2024.mp4?source=membersrsmedia
3471,2431,2024-07-29,Closure of Toll Plaza all over country,Special Mention,33 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4885-07-29-2024.mp4?source=membersrsmedia
3472,2431,2024-07-26,Question Hour,Question Hour,77 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4746-07-26-2024.mp4?source=membersrsmedia
3473,2431,2024-07-25,Question Hour,Question Hour,96 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4655-07-25-2024.mp4?source=membersrsmedia
3474,2431,2024-07-24,Quetion Hour,Question Hour,39 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4587-07-24-2024.mp4?source=membersrsmedia
3475,2431,2024-07-24,Special Mention,Special Mention,38 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4633-07-24-2024.mp4?source=membersrsmedia
3476,2431,2024-07-22,Matters raised with the permission of Chair.,Special Mention,57 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4503-07-22-2024.mp4?source=membersrsmedia
3477,2431,2024-02-09,Matters raised with the permission of the Chair,Special Mention,46 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4196-02-09-2024.mp4?source=membersrsmedia
3478,2431,2024-02-09,"The Public Examinations (Prevention of Unfair Means) Bill, 2024",Government Bills,134 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4247-02-09-2024.mp4?source=membersrsmedia
3479,2431,2024-02-07,Question Hour,Question Hour,18 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4032-02-07-2024.mp4?source=membersrsmedia
3480,2431,2024-02-07,Special Mention,Special Mention,3 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4079-02-07-2024.mp4?source=membersrsmedia
3481,2431,2024-02-02,Private Members Bill,Private Member's Bill,31 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3780-02-02-2024.mp4?source=membersrsmedia
3482,2431,2024-02-02,Special Mention,Special Mention,33 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3798-02-02-2024.mp4?source=membersrsmedia
3483,2431,2023-12-13,"The Repealing and Amending Bill, 2023",Government Bills,113 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3427-12-13-2023.mp4?source=membersrsmedia
3484,2431,2023-12-12,Question Hour,Question Hour,130 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3297-12-12-2023.mp4?source=membersrsmedia
