id,srno,eventDate,subject_title,debateType,sizeOfVideo,videoUrl
3037,2419,2023-12-21,"The Bharatiya Nyaya Sanhita, 2023 - The Bharatiya Nagarik Suraksha Sanhita, 2023 - The Bharatiya Sakshya Bill, 2023",Government Bills,185 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3670-12-21-2023.mp4?source=membersrsmedia
3038,2419,2023-12-20,Question Hour,Question Hour,28 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3540-12-20-2023.mp4?source=membersrsmedia
3039,2419,2023-12-20,"The Central Goods and Services Tex (Second Amendment) Bill, 2023",Government Bills,33 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3594-12-20-2023.mp4?source=membersrsmedia
3040,2419,2023-12-19,"The National Capital Territory of Delhi Laws (Special Provisions) Second (Amendment) Bill, 2023",Government Bills,52 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3516-12-19-2023.mp4?source=membersrsmedia
3041,2419,2023-12-18,"The Government of Union Territories (Amendment) Bill, 2023 and The Jammu & Kashmir Reorganization (Second Amendment)  Bill, 2023",Government Bills,10 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3472-12-18-2023.mp4?source=membersrsmedia
3042,2419,2023-12-13,Matters raised with the permission of the Chair,Special Mention,54 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3372-12-13-2023.mp4?source=membersrsmedia
3043,2419,2023-12-13,Question Hour,Question Hour,14 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3400-12-13-2023.mp4?source=membersrsmedia
3044,2419,2023-12-11,"The Jammu and Kashmir Reorganization (Amendment) Bill, 2023",Government Bills,133 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3247-12-11-2023.mp4?source=membersrsmedia
3045,2419,2023-12-07,Matter raised with the permission of the Chair,Special Mention,44 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2993-12-07-2023.mp4?source=membersrsmedia
3046,2419,2023-12-06,Question and its reply during Question Hour in Rajya Sabha,Question Hour,168 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2921-12-06-2023.mp4?source=membersrsmedia
3047,2419,2023-12-05,Short Duration Discussion on the Economic Situation in the Country,Discussion Under Rule 193,282 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2870-12-05-2023.mp4?source=membersrsmedia
3048,2419,2023-08-07,Submission by Honorable Member,Submission by members,183 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2232-07-08-2023.mp4?source=membersrsmedia
3049,2419,2023-08-03,Matter raised with the permission of the Chair,Special Mention,12 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2158-03-08-2023.mp4?source=membersrsmedia
3050,2419,2023-08-03,Question Hour,Question Hour,56 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2165-03-08-2023.mp4?source=membersrsmedia
3051,2419,2023-08-03,"The Press and Registration of Periodicals Bill, 2023",Government Bills,170 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2198-03-08-2023.mp4?source=membersrsmedia
3052,2419,2023-08-02,Question Hour,Question Hour,27 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2092-02-08-2023.mp4?source=membersrsmedia
3053,2419,2023-08-01,Question Hour,Question Hour,16 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2007-01-08-2023.mp4?source=membersrsmedia
3054,2419,2023-07-25,Question Hour,Question Hour,50 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1835-25-07-2023.mp4?source=membersrsmedia
3055,2419,2023-07-25,The Constitution (Scheduled Tribes) Order (Fifth Amendment) Bill 2022,Government Bills,58 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1868-25-07-2023.mp4?source=membersrsmedia
3056,2419,2023-07-24,Question Hour,Question Hour,82 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1813-24-07-2023.mp4?source=membersrsmedia
