srno,freedomFighter,countriesVisited,booksPublished,sportsInterests,socialActivities,otherInformation
2043,No,,"Wrote in Assamese, (i) Bibhina Dinar Chinta, 1986, (ii) Mahurar Pare Pare, 1991, (iii) Biksovar Choka Torowal, 1998 and (iv) Jivanar Madhuri, 2001; compiled and edited, (i) A Fearless Democrate Hembarua, 2010, (ii) Mahanagarar Kanthaswar, 2011 and (iii) An Ardent Patriot Dinesh Goswami, 2012","President, Assam Volleyball Association; Vice - President, Volleyball Federation of India (VFI); sports organizer; interested in sports, especially volleyball, cricket and football; singing, reading, writing and playing instrument","A lyricist, composer, singer, dramatist, actor and script writer; Advisor, Assam Natya Sanmilan; associated with various socio-cultural organisations and activist of the Vaishnavite movement of Assam","Was actively engaged in student movement since 1973 and during the six year Assam movement 1979, Exectuive Member, All Assam Students Union (AASU) till 1985; Vice-President, Post-Graduate Students Union, Gauhati University in 1981; a practising lawyer in the Gauhati High Court since 1991; Chairman, Assam State Film Finance and Development Corporation Limited, 1996; Ex- Member, (i) North East Zone Cultural Centre, Dimapur, Nagaland and (ii) East Zone Cultural Centre, Kolkata, West Bengal"
2044,No,,,"High jump, volleyball player",,"Chairman, Tiruchirapalli Co-operative Milk Board, Tamil Nadu, 1993- 1996"
2045,No,"Singapore, Mexico, Brazil, Chile, Italy, Australia, France, U.S.A., Thailand and Germany","In Tamil: (i) Karuvarai Vaasanai, (ii) Agathinai, (iii) Paarvaigal and (iv) Karukkum Marudhani; her literary works have been translated into various languages like English, Malayalam, Kannada and Telugu by the Dravidian University",,"Has organised Tamil folk art festivals called Chennai Sangamam-Thiru Vizha, Namma Theru Vizha (Our Street Festival) showcasing Chennai’s long-lost traditional art forms (the only Festival of India that belongs to people of all religions, as well as to the non-believers), the harvest festival of Tamil antiquity; the Pongal, re-discovering itself as urban thanksgiving; Chennai Sangamam had a successful fifth edition in January 2011; scripted a dance drama called 'Silapathigaram, the woman of substance'; also interested in the welfare of differently-abled people and the transgenders","Has organised Job Fairs in various districts of Tamil Nadu which began as an experiment in June 2008 at Kariyapatti, a village in Virudhunagar District; by March 2010, job fairs held in rural areas had provided jobs to over one lakh unemployed youth spread across five districts, namely Nagercoil, Vellore, Udhagamandalam, Tiruchirapalli and Virudhunagar; plans to conduct similar job fairs all over Tamil Nadu; Member, General Assembly of the Indian Council for Cultural Relations, Oct. 2009 - Oct. 2012"
2047,No,"Erstwhile Soviet Union, U.S.A., France, Portugal, Belgium, U.K., erstwhile East Germany, the Netherlands, erstwhile Czechoslovakia, Hungary, Poland, Mongolia, Pakistan, Sri Lanka, Nepal, Vietnam, Cuba, China, Democratic Peoples’ Republic of Korea (North Korea), Algeria, Greece, Cyprus, U.A.E., Kuwait and Syria","(i) Dalit Question, 2007 and (ii) The Way Forward : Fight Against Unemployment, a booklet on unemployment; has written a number of articles (in Tamil and English) on various political and social issues in various journals and newspapers",Reading books,Took part in inter-collegiate debates both in English and Tamil during college days; has won prizes in essay writing and elocution competitions in school and college; worked with agricultural workers and the Tamil Nadu Cultural Association; active in peace and friendship movement,"National Secretary, Communist Party of India (CPI) since 1994; General Secretary, All India Youth Federation, 1985-90; was State Secretary (Tamil Nadu), All India Youth Federation, 1975-80; his parents were landless agricultural workers; he was the first graduate in his village"
2048,No,U.K.,"(i) New Hope, published in 1990 and (ii) My Bahujan Samaj Party, 1992",Writing articles and books,"Founder, Thalainagar Tamil Sangam, New Delhi; to provide help to Tamilians and South Indians in Delhi and the National Capital Region (NCR)","National Treasurer, Bahujan Samaj Party"
2049,No,,,"Interested in football, kite flying, watching news and reading books","Working for the upliftment of downtrodden sections of the society; leading movement for inclusion of Dalit Muslims in the Scheduled Castes category since the last 14 years; National President, All-India United Muslim Morcha (previously known as Backward Muslim Morcha); Proprieter, Chief Editor and Publisher, Sangam, an Urdu daily, published from Patna; Visiting Surgeon, Ghulam Sarwar Clinic; treating patients belonging to the downtrodden and the depressed sections at nominal rate",
2050,No,"(i) U.S.A, as a Member of the Young Political Leaders under the ACYPL Programme, 1985, (ii) Europe, to participate in the Marathi Sammelan, 1998, (iii) Boston (U.S.A), as leader of the delegation to negotiate MIT’s Media Lab Asia Project, 2000, (iv) U.S.A., to participate in the FICC-Yale Leadership Development Programme, 2009, (v) Israel, to participate in the Indo-Israel Friendship Programme, 2010, (vi) Taiwan, 2008, (vii) Chicago (U.S.A.), to attend a conference on the Telangana issue, 2010, (viii) China, to participate in the conference organised by the O.R.F., 2011, (ix) Belgium, to attend the conference organised by the Climate Parliament, 2011, (x) Finland and Iceland, as Indian parliamentary delegate, (xi) Nairobi (Kenya), to attend the First session of UNEP’s United Nations Environment Assembly, 2014, (xii) France, to attend the meeting of Major Economies Forum, Paris, 2014, (xiii) U.S.A., to attend the meeting of Major Economies Forum and UN Secretary General’s Summit 2014 and to attend the high level special event, “The Minamata Convention on Mercury”, New York (U.S.A.), 2014, (xiv) France, to attend the tenth Joint meeting of the COP to the Vienna convention for the protection of the Ozone Layer, (xv) Paris (France), for 26th meeting of the parties to the Montreal Protocol, 2014, (xvi) France, to attend Ministerial level meeting for informal consultations on climate change, 2015, (xvii) France, to attend the 2nd COP 21 preparatory Ministers consultations, 2015, (xviii) France as Environment Minister led the Indian Delegation to UNCCC COP 21, 2015 during which 'Paris Agreement' was signed, (xix) Peru, to attend UN Climate Change Conference, (xx) Berlin (Germany) (twice) for Petersberg Dialogue 2015, 2016, (xxi) Madrid (Spain), 2019 UNFCCC COP25, (xxii) U.S.A. COP20, 2014; attended, GLOBE Conference in, (i) Japan, 2008, (ii) Rome (Italy), 2009, (iii) Copenhagen (Denmark), 2009 and (iv) Cape Town and Durban (South Africa), 2011; represented India at the funeral of former PM of Israel, Shimon Peres in Sept. 2016; China, as BRICS Education Ministers Conference; Canada and Australia for Dialogue with universities","In Marathi: (i) Bekaricha Jwalamukhi (Problem of Unemployment), 1986, (ii) Nanenidhiche Karz (IMF Loan), 1987, (iii) Shetkanyanchi Karzmukti (Farm Loan Waiver), 1988 and (iv) Mahagaicha Bhasmasoor (Problem of Inflation), 1999 and 2010; has written 400 articles in various newspapers and many booklets on topical issues",,"Chairman, GRAMSHAKTI, an NGO working in the area of watershed development of Pune; worked for revival of tribal project of Bank of Maharashtra in Thane Distt., 1978-1980","Led the students’ movements under the A.B.V.P. in various capacities, 1969-77; worked with the Bank of Maharashtra for 10 years (1971-81); organised Satyagraha against the emergency rule and was imprisoned for 16 months, 1975-77; Elected Senate Member, Pune University for 12 years, 1980-90; full time party worker, B.J.P. since 1981; National Secretary and General Secretary, B.J.Y.M. 1984-90; State Secretary and Campaign Chief, B.J.P., Maharashtra, 1989-95; Spokesman, B.J.P., Maharashtra; All India Spokesperson, B.J.P. since 2003"
2051,No,Widely travelled,,"Chairman, JK Sports Foundation; Ex-President, Cricket Club of India; Member, (i) Cricket Club of India (CCI), (ii) Bombay Yacht Club and (iii) Royal Western India Turf Club; reading, travelling and music","Economics, Finance, Sports and History","Ex-Hon. Consul, Federal Democratic Republic of Ethiopia; Chairman, Indo-African Chamber of Commerce; Ex-Chairman, India Calling, NRI's Conference organised by Indian Merchant Chamber (IMC); Faculty Member, Taxation Course, SNDT University; President, Western India Automobile Association (WIAA); Ex-President, (i) Indo- American Society, (ii) ITAT Bar Association, (iii) Indian Merchant Chamber (IMC), (iv) The Chamber of Income Tax Consultants, (v) Organisation for Public Life (OPUL) and (vi) Federation of Indian Automobile Association (FIAA) ; Ex-Director, (i) Central Bank of India, (ii) Dena Bank and (iii) Hindustan Latex Limited; Treasurer, Nationalist Congress Party; Ex-Treasurer, (i) Maharashtra Pradesh Congress Committee, and (ii) Mumbai Regional Congress Committee; Awarded, (i) Award of Merit by Junior Chamber of Commerce, 1965, (ii) Hum Log Foundation Indira Gandhi Award, 1988, (iii) Association of Leasing & Financial Company Award, 1993 and (iv) Gujarat Ratna Award; Director/ Chairman of several companies"
2052,No,"China and South Korea with the Prime Minister of India, 1993, U.K., U.S.A., France, Germany, Holland, Switzerland, Nepal and Mongolia","In Marathi, (i) Andharatil Ek Prakash, 1977, (ii) Drishtikon, 2004, (iii) Nayak, 2004, (iv) Shiv Sena: Haar Aani Prahaar, 2005, (v) Asa Drishtikon, 2006, (vi) Ashi Hee Mumbai, 2008, (vii) Manovedh, 2010 and (viii) Geeta: Anand Yatra (2011); In English: Past Forward, (Internet edition) 2011","Watching cricket, reading biographies and autobiographies of socio - political leaders; studying Geeta and listening to Marathi and Hindi light music","Awarded, (i) Journalist of the Year by Giants International, (ii) Harivanshrai Bachchan Award for Excellence in Journalism by Aashirwad, (iii) G.G. Jadhav Puraskar by Mumbai Marathi Patrakar Sangh, (iv) Balshastri Jambhekar Puraskar by Marathi Patrakar Parishad and (v) Jeevan Gaurav Award by Maharashtra Patrakar Sangh","Practising journalist for over three decades; worked in English and Marathi newspapers, Government and private television channels in India and abroad; was Editor, Maharashtra Times; launched ZEE News, India’s first news channel; at present, Editorial Director 'Lokmat Media Group'; President, Mumbai Marathi Patrakar Sangh, 1987-88; was Trustee, Shree Siddhivinayak Temple Trust, 2005 - 2007; Member, (i) Executive Committee, Bombay Union of Journalists and (ii) Telephone Advisory Committee, MTNL, since 2008"
2053,No,"U.S.A., U.K. (under Fulbright Project), Canada to attend the Conference of Vice-Chancellors of Commonwealth Countries; Sri Lanka, as a member of study group of ten Presidents of Municipal Councils from Maharashtra; participated in the 64th United Nations General Assembly, Nov. 2009","In Marathi and Hindi, (i) American Negro: Sahitya Aani Sanskriti (Lokvangmaya Grih Prakashan, Mumbai, 1978 and 2008), (ii) Maharashtratil Rajkaran Va Samajkaran, (Nagar Parishad, Karad, 1980), (iii) Hak Aani Aakrosh (Shrividya Prakashan, Pune, 1984), (iv) Prathmik Shikshan : Yashapayash Aani Bhavitavya (Mumbai Vidyapeeth Prakashan, Mumbai, 1992), (v) Aajche Shikshan : Swapn Aani Vastav (Suresh Agency Prakashan, Pune, 1993), (vi) Samaj Parivartanaachya Disha (Saket Prakashan, Aurangabad, 1995), (vii) Chintan Eka Kulguruche (Swami Ramanand Teerth Marathwada Vidyapeeth, Nanded, 1999), (viii) Parivartan : Sankalpna, Vedh Aani Vastav (Gauravgranth) (Kalpna Prakashan, Nanded, 1999), (ix) Gyan - Vigyanachya Deshaat (Pravaas Varnan) (Padmagandha Prakashan, Pune, 2005), (x) Vyaktivalaye (Vyaktirekha) (Bhoomi Prakashan, Latur, 2005), (xi) Bakhar Eka Khedyachi (Novel) (Bhoomi Prakashan, Latur, 2005), (xii) Moothbhar Maati (Autobiography) (Padmagandha Prakashan, Pune, 2006), (xiii) Chintan Eka Nagaradhyakshache (Bhoomi Prakashan, Latur, 2006), (xiv) Shikshan : Samaj Parivartan Va Rashtriya Vikas (Keshav Gore Smarak Trust, Mumbai, 1984), (xv) Sahityachintan (Pratima Prakashan, Pune, 1992 and 1996), (xvi) Samaj Parivartan Ki Dishayen, (Hindi translation) (Vikas Prakashan, Kanpur, 1999), (xvii) Jeevanrekha (Abhay Prakashan, Nanded, 2000), (xviii) Ek Shikshavid Ka Chintan, (translation), (Vikas Prakashan, Kanpur, 1999), (xix) Chintanyatra (Swaroop Prakashan, Aurangabad, 2004), and (xx) Samvaad (Bhoomi Prakashan, Latur, 2006); In English, (i) The Quest for Black Identity (Sugava Prakashan, Pune, 2002) and (ii) The Horizons and Beyond (Sangat Prakashan, Nanded, 2006), (iii) Directions of Social Change, Saket Prakashan, Aurangabad, (iv) Reflection on Literature, Pratima Prakashan Pune, and (v) Handful of Dust (Autobiography), Padmagandha Prakashan, Pune, etc. ; has written articles and research papers in Marathi and English in various journals, periodicals and magazines","Reading and writing, social work and public lectures","Has social work as his vocation; has constructed a village of 80 houses named 'Rashtriya Seva Gram' in which people belonging to different castes live together as next door neighbours in Ausa taluka in the earthquake affected area of Latur District, Maharashtra, the village has no caste barriers (under N.S.S. 2000); worked for leprosy-stricken people; awarded by (i) Government of Maharashtra, 1983, 1990, 1994, 2005, 2008, 2009 and 2010 for literature and by (ii) Maharashtra Philosophy Conference, Pune, 1983, (iii) Maharashtra Sahitya Parishad, Pune, 1994, and (iv) Maharashtra Foundation, U.S.A., 1996 for his literary works","Has worked on various educational, social, cultural and literary bodies and Government committees in Maharashtra: (i) Maharashtra State Board of Secondary Education, Pune, (ii) Academic Council, Senate, Board of Studies in English and other important Committees of Dr. Babasaheb Ambedkar Marathwada University, Aurangabad, (iii) Committees appointed by the Government of Maharashtra, (iv) The State Gazetteers’ Committee, Government of Maharashtra, Mumbai, (v) Maharashtra State Planning Board, Mumbai and (vi) State Literary and Cultural Board, Mumbai; was Chairman, (i) Quality Assurance Cell and Working Group, Sponsored by NAAC, Bangalore, Government of Maharashtra, Mumbai and (ii) Yashwantrao Chavan Foundation, Regional Centre, Latur; was President, Samaj Probodhan Sanstha, Pune; Honorary President, Oxford and Cambridge Society of India; President, Governing body Motilal Nehru College, Delhi; was Chancellor’s Nominee, Selection Committee for Selection of Teachers, University of Pune; worked as Lecturer in English, (i) Shiv Chhatrapati Shivaji College, Omerga, District Osmanabad, 1959-62, (ii) Dr. Babasaheb Ambedkar College, Aurangabad, 1962-64, (iii) Deogiri College, Aurangabad, 1964-70 and (iv) Rajarshi Shahu College, Latur, 1970- 94; was Member, Dr. Ambedkar, Mahatma Jotiba Phule, Shahu Source Material Publication Committee, Government of Maharashtra, Mumbai; awarded for literary, educational and social work, namely (i) Meritorious and Ideal Teacher Award at the University level by the Government of Maharashtra, 1990- 91, (ii) Dr. Ambedkar Dalit Mitra Award by Government of Maharashtra 1993 - 94, (iii) Late Yashwantrao Chavan Memorial Award by Zilla Parishad, Beed, 1994, (iv) Dr. Ambedkar Vishesh Seva Puraskar, Dalit Sahitya Academy, New Delhi, 1994, (v) Late P.Y. Deshpande Memorial Chandrabhaga Teeri Award for literature, 1999, (vi) Marathwada Gaurav Puraskar, 2001, (vii) Lal Bahadur Shastri Seva Gaurav Puraskar, 2002, (viii) Maharashtra Gaurav Puraskar by Social Integration Institute, Parbhani, 2003, (ix) Late Narhar Kurundkar Puraskar, 2003, (x) Rashtriya Ekta Award by Image Welfare Achievers Forum, Mumbai, 2004, (xi) Satyashodhak Dinkarrao Jawalkar Memorial Award, Pune, 2004, (xii) Maharashtra Bhooshan Award by Maharashtra State Freedom Fighters’ Committee, Aurangabad, 2005 and (xiii) Samata Puraskar, Milind College, Aurangabad; has had the honour and privilege to be the President of various conferences and seminars; has given lectures on educational, social, cultural and literary topics in different parts of the country and in almost all the universities in Maharashtra; pioneered Latur pattern in education; as the Founder Vice-Chancellor of Swami Ramanand Teerth Marathwada University, Nanded (Maharashtra), he developed non-conventional courses of study useful for the development of the Marathwada region and introduced several innovations; radically reformed the examination system of SRT University, Nanded; three research scholars have been awarded Ph.D. degree for their research on his literary works while two have received M.Phil. degree"
2054,No,"Nepal, U.S.A., Paraguay, Uruguay and Chile",,"Social service, reading and rural development activities",Helping poor women and farmers,"State Secretary, Biju Janata Dal, Odisha, 1999-2002, Chairman, Integrated Child Development Scheme (ICDS), District Level Committee, Distt. Ganjam, Odisha, 2002 - 2007; Member, (i) Solar Advisory Committee, Distt. Ganjam, Odisha, 2003-08 and (ii) State Social Welfare Board, Odisha, 2004 - 06 and 2006-08; Vice-President, India-Sri Lanka Parliamentary Friendship Group"
2055,No,,,,"Economic and educational development and welfare of the Scheduled Castes, the Scheduled Tribes, the poor and the downtrodden","Was General Secretary, Orissa Scheduled Tribes Students' Welfare Association, 1967; Working President, Janata Dal, Sundargarh District, Orissa, 1985; President, Orissa State Scheduled Castes and Scheduled Tribes Co-operative Development Ltd., 2007"
2056,No,"U.S.A., as member of the Indian Parliamentary delegation led by the Minister of Parliamentary Affairs, Government of India; Sharjah, Abu Dhabi, Dubai (U.A.E.) and Singapore",,Debating in English and Tamil languages; writing articles for magazines,,"Had been a detenue under the Maintenance of Internal Security Act (M.I.S.A.) for one year in 1976; Trustee, Chennai, Port Trust, 1996-98; Advocate, D.M.K. Party Headquarters for ten years; Legal Advisor, T.I.I.C., and Government and private firms; was Secretary, (i) Tamil Association, Loyola College, 1961-63; and (ii) Madras Law College Students' Council; was President, City Colleges Students' Association, Madras"
2057,No,,,,,
2058,No,"Erstwhile Czechoslovakia, China, Egypt, Greece, France, Japan, Mexico, South Africa, Sri Lanka, U.K., U.S.A., Portugal, Germany, Australia, Peru and Cuba",,Interested in cricket; reading books,,
2059,No,,"(i) Kalaignar 87 (a compilation of 87 leaders’ valuable recordings of their relationship with Kalaignar including former and present Presidents of India, former Speaker, Lok Sabha, Shri Somnath Chatterjee, Shri L.K. Advani, Shri Cho Ramaswamy; (ii) Christian contribution to the art of publishing ( a research paper submitted to the Tamil Chemmozhi Maanaadu, Coimbatore, 2010); author, Kalki –‘En Uyirthozhi Andal’ a short serial in a leading Tamil magazine","Won prizes in essay writing in English and Tamil poetry, short stories, singing, dancing and acting during school and college days","Advisor, TAFVA, a federation of 2,500 NGOs in Tamil Nadu",
2060,No,"Iran, with the President of India, 1976; Syria, Germany, U.S.A. and Hungary with the Prime Minister, Late Shri Rajiv Gandhi, 1988; Iran, with the Prime Minister of India, 1993; Pakistan, to attend the Islamic Summit, 1974 and with the Prime Minister to attend the SAARC Summit, 2004; Iraq on a medical help mission, 1997; Bangladesh, with former Prime Minister, late Shri I.K. Gujral, 1997; and Saudi Arabia","(i) Allah Ke Ghar Mein, 1972, (ii) Aaj Ka Pakistan, 1974 and (iii) Baghdad Se Medina - Munawara Tak, 1998","Reading books, journals and newspapers","Ex-Vice-President, All India Urdu Editors Conference; Member, (i) West Bengal Urdu Academy, (ii) Maulana Azad Institute of Asian Studies (iii) West Bengal State Haj Committee and (iv) Advisory Committee, Mass Media Centre; recepient of several awards for Journalism and national integration from the Central and State Governments and public institutions","Studied English, Persian, Arabic, Hindi and Urdu languages during Madrasa education, worked with Mahatma Gandhi for several months during his stay at Kolkata in 1947 during pre-partition and post-partition of India for peace and communal harmony; closely associated with Maulana Abul Kalam Azad; Chief Editor, ""Azad Hind"" an Urdu daily published from Kolkata, for over 60 years; Ex-Council Member, Maulana Azad National Urdu University, Hyderabad; Ex-Member, (i) Calcutta University Senate, (ii) Court of Aligarh Muslim University, (iii) National Council for Promotion of Urdu Language (NCPUL), (iv) Advisory Board, A.I.R., Kolkata, (v) Advisory Board, Doordarshan, Kolkata, (vi) Metro Railway, (vii) Passenger Facilities Committee, Indian Railways and (viii) West Bengal Telephone Advisory Committee"
2061,No,"Switzerland, U.S.S.R., China, Bangladesh, Sri Lanka, Cuba, Germany, Austria, U.K., U.S.A., France, Italy, Spain and Vietnam","In Bengali: (i) Samaj Tantra Key Abong Keno (What is Socialism and Why?), 1978, (ii) Kashmir Atit, Bartaman and Bhabishat (Kashmir Past, Present and Future), 1998, (iii) Tin Prasanga (Three Issues), 2001, (iv) Garu O Trishul (Cow and Trident), 2001, (v) Arjara Ki Bharater Adim Adhibasi (Whether Aryans are Aboriginal in India), 2002, (vi) Jharer Kheya (Boat in the Storm), 2008 and (vii) Chhatra Andolon: 60:70 (Students’ Movement 60:70), 2010; Booklets: (i) Unorganised Worker in West Bengal, 2005 and (ii) On Retail Trade, 2007",Writing articles and welfare activities for the workers,Social activist on energy conservation; was involved in organising workers' training programme for the unemployed youths on manufacturing of solar equipments; has written articles in several newspapers and journals,
2064,No,"U.S.A., U.K., Russia, Finland, Austria, Australia, Greece, Italy, South Korea, Japan, China, South Africa, Pakistan, New Zealand, Samoa, Myanmar and Azerbaijan",,Cricket and table tennis,Articles published in various journals and newspapers,"General Secretary, Asom Gana Parishad (AGP); led the Government delegation to African Summit, held at Cameroon and canvassing for Indian permanent membership for Security Council at UNO, 1996; President, Weightlifting Federation of India; Vice-President, Indian Olympic Association (IOA); Chairman, Ethics Commission;Vice-President, Indian Olympic Association (IOA);Vice-Chairman, Games Village, Commonwealth Games, New Delhi, 2010; Chef de Mission, (i) Indian Team, Asian Indoor Games, Vietnam, 2009 and (ii) Indian Contingent, Tokyo Olympics, 2020; Member, Executive Board, International Weightlifting Federation"
2065,No,"Bhutan, Thailand, Hong Kong, China, Germany, France, the Netherlands, Austria, Brazil, Mauritius, Japan, Switzerland, U.K., U.S.A., Vietnam, Israel, Amman (Jordan), New Zealand, Singapore, Nepal, Kenya, Bangladesh, Maldives, Dubai (U.A.E.) and Mongolia",,"Football, volleyball, badminton, basketball, drama, music and arranging folk dance programmes","Engaged in many social and cultural activities; organising seminars and youth awareness programmes; upliftment of the youth; interacting with the youth; involved in public health programmes; actively participated and organized various awareness programmes for literacy, health and skills development for the rural people especially in tribal areas","Has rendered voluntary social service during student and political life; has worked for the upliftment of the backward rural people especially tribals of the country; President, (i) Sanja Defeli Anchalik Committee, All Bodo Students’ Union, 1990-92, (ii) Kamrup District Committee, All Bodo Students’ Union, 1994-96, (iii) International Bodo Race Festival Committee since 2009 and (iv) All Bodoland Taekwondo Association since 2010; General Secretary, (i) Sanja Defeli Anchalik Committee, All Bodo Students' Union, 1988-90 and (ii) Kamrup District Committee, All Bodo Students' Union, 1992-94; Assistant General Secretary, Central Committee, All Bodo Students’ Union, 1996-2001; Assistant Treasurer, National Students and Youth Forum for Smaller States (National Level), 1997-2001; Secretary, Bodoland People's Front (BPF) Party, 2006-2016; Spokesperson, Bodoland People's Front Party since 2016; Advisor, Chief of Bodoland Territorial Council since 2015"
2066,No,,,,"As President, Andhra Pradesh Congress Seva Dal from 1984 to 1997 conducted several training programmes and awareness camps for the youth, the minorities, Scheduled Castes, Scheduled Tribes and Backward Classes of the society; as Chairman, Society for Employment Promotion and Training in Twin Cities (SETWIN), Hyderabad, introduced the policy of providing reservations to the Scheduled Castes, Scheduled Tribes, Backward Classes, women and the disabled during the year 2006; was responsible for restoring the scheme of SETWIN Mini Buses and provided employment to 400 unemployed youth through the scheme in the twin cities of Hyderabad and Secunderabad; submitted a policy proposal to the Government of Andhra Pradesh for establishing a SETWIN Study Centre to provide free coaching to the minority youth to prepare for the All India level competitive examinations like IAS, IPS, etc.","Chairman, (i) SETWIN, 2005-2007 and (ii) Andhra Pradesh Congress Seva Dal for thirteen years (1984-97); Director, Andhra Bank, 1996-99"
2067,No,,,,"Founder President, Rajiv Gandhi Sankhachema Sangam, Rampachodavaram","Chairperson, Andhra Pradesh Girijan Co-operative Corporation, 2005-2007"
2068,No,U.S.A. and U.A.E.,,"Table tennis; Member, Nizam Club, Hyderabad",,
2070,No,,,,,
2071,No,,,Playing and watching cricket,Has taken part in various social and cultural activities; reading books,
2072,No,"U.S.A., U.K., Israel, China, Nepal, Kenya, Hong Kong, Sudan, Italy (Rome) and Russia (ufa)","Manasgatha, 2008","Member of the Champion Team of Kabbadi, Saurashtra University","Reading, travelling and listening to folk songs","State President, B.J.P., Gujarat, Oct. 2006 - Jan. 2010; National Vice-President, B.J.P. from March 2010 - June 2016; President, (i) Amreli District, B.J.P., 1988 - 91, (ii) Amreli Consumer Protection Council since 1987, (iii) Gujarat Scouts and Guides, (iv) All India Scouts and Guides, (v) Akhil Gujarat Electricity Board, (vi) Hemu Gadhavi Centenary Year Celebration Committee and (vii) Madad Trust, Amreli; Secretary, B.J.P., Gujarat State, 1992; General - Secretary, B.J.P., Gujarat, June 2005 - Oct. 2006; National In-Charge, (i) Kisan Morcha, B.J.P. and (ii) States of Andhra Pradesh and Goa; Principal, (i) High School, Hamapur, Ta. Bagasara, Amreli, Aug. 1977-Nov. 1983 and (ii) Municipal Girls High School, Aug. 1987 - April 1988; Chairman, Youth Hostels of India, Gujarat, 2005-2007; Chief Officer, Amreli Nagarpalika, Nov. 1983 to Aug. 1987; Trustee, Kadava Patidar Trust, Amreli"
2073,No,,,Interested in reading books of social and political nature,"President, D.D. High School Education Trust since 2007","State General Secretary, Bharatiya Janata Party, Gujarat"
2074,No,U.S.A.,,"His favourite sport has been volleyball during school days; as a school teacher, arranged several volleyball competitions to promote this sport in rural areas of Haryana","As a member of the Kurukshetra District Bar Association, provided free legal aid to the needy and poor litigants belonging to rural areas and weaker sections of the society; has been taking steps to spread education in rural areas; established two teacher training colleges and one junior teacher's training institute; an MBA institute and a polytechnic institute are also being established; interested in ancient Indian heritage and culture","Chairman, (i) Central Co - operative Bank, Kurukshetra, July 1978 - May 1979, (ii) Board of School Education, Haryana, September-October 1979 and (iii) Housing Board, Haryana, October 1979 - April 1982; President, District Congress Committee, Kaithal, 2003-2005; Director, Housing and Urban Development Corporation Limited (HUDCO), December 2007 - March 2008; actively engaged in articulating the public concerns /sentiments especially of the poor sections of the society"
2075,No,"Kenya, Tanzania, Zimbabwe, Gulf countries, Thailand, Malaysia, Singapore, Dubai (U.A.E.), U.K., Ireland and France",,,,"Associated with the Rashtriya Swayamsevak Sangh (R.S.S.) as a Pracharak since 1972; General-Secretary (ORG), Bharatiya Janata Party, Rajasthan, 1990-2002; In-charge, B.J.P. units in the States of Uttarakhand, Madhya Pradesh and Gujarat, 2002-2008; All India General-Secretary, B.J.P., 2005-2008; State President, B.J.P, Rajasthan, January 2008 to July 2009; All India Secretary, B.J.P., 2004-2005; Member, National Executive, B.J.P., 1990-2009; National Vice President, B.J.P. since 2014; President, India Japan Parliamentary Friendship Group, Oct. 2016 onwards"
