id,srno,billno,billName,introducedInHouse,introducedDate,ministry,member,billCategory,datePassed_in_LS,datePassed_in_RS,reportPresented,actNoAndYear,status,pdfUrl
607,467,3,"The Information Technology (Amendment) Bill, 2016.(Substitution of new section for section 78)",Lok Sabha,2016-04-29,COMMUNICATIONS AND INFORMATION TECHNOLOGY,Kirit Somaiya Dr.,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/4121LS.pdf?source=legislation
608,467,215,"The Unit Trust of India (Amendment) Bill, 2000 (Insertion of new chapter IIIA)",Lok Sabha,2001-10-08,,Kirit Somaiya Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/5495LS.pdf?source=legislation
609,467,217,"The Unit Trust of India (Amendment) Bill, 2000 (Amendment  of  section 10)",Lok Sabha,2001-10-08,,Kirit Somaiya Shri,Financial Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/5491LS.pdf?source=legislation
610,467,212,"The Unit Trust of India (Amendment) Bill, 2000 (Insertion of new section 21A)",Lok Sabha,2001-08-10,,Kirit Somaiya Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/5494LS.pdf?source=legislation
611,467,132,"The Deposit and Credit Guarantee (Amendment) Bill, 2000 (Amendment of section 16)",Lok Sabha,2000-08-25,,Kirit Somaiya Shri,Financial Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/2087LS.pdf?source=legislation
612,467,141,"The Securities and Exchanges Board of India (Amendment) Bill, 2000 (Insertion of new section 11C)",Lok Sabha,2000-08-25,,Kirit Somaiya Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/2470LS.pdf?source=legislation
613,467,65,"The Constitution (Amendment) Bill, 2000 (Substitution of newe Schedule for Tenth Schedule)",Lok Sabha,2000-04-20,,Kirit Somaiya Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/4565LS.pdf?source=legislation
614,467,79,"The Prevention of Insults to National  Honour (Amendment) Bill, 1999 (Amendment of section 3)",Lok Sabha,2000-02-25,HOME AFFAIRS,Kirit Somaiya Shri,Financial Bill,,,,,Pending,
615,467,8,"The CAble Television Networks (Regulaton Amendment) Bill, 2000",Lok Sabha,2000-02-25,INFORMATION AND BROADCASTING,Kirit Somaiya Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/3261LS.pdf?source=legislation
616,467,9,"The Securities and Exchange Board of India (Amendment) Bill, 2000 (Amendment of section 4)",Lok Sabha,2000-02-25,,Kirit Somaiya Shri,Financial Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/3259LS.pdf?source=legislation
617,467,76,"The Constitution (Amendment) Bill, 1999 (Amendment of article 58, etc.)",Lok Sabha,1999-03-12,,Kirit Somaiya Shri,Ordinary Bill,,,,,Pending,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/1690LS.pdf?source=legislation
618,467,78,"The Technology Bank of India Bill, 1999",Lok Sabha,1999-03-12,SCIENCE AND TECHNOLOGY,Kirit Somaiya Shri,Financial Bill,,,,,Pending,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/1719LS.pdf?source=legislation
619,467,81,"The Constitution (Amendment) Bill, 1999 (Insertion of new article 75A, etc.)",Lok Sabha,1999-03-12,HOME AFFAIRS,Kirit Somaiya Shri,Constitutional Amendment Bill,,,,,Pending,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/1725LS.pdf?source=legislation
620,467,98,"The Investors` Protection Bill, 1999",Lok Sabha,1999-03-12,,Kirit Somaiya Shri,Financial Bill,,,,,Pending,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/1830LS.pdf?source=legislation
621,1250,IX,"The Constitution (Amendment) Bill,1981 (to amend art.51)",Rajya Sabha,1981-08-28,,Mulka Govinda Reddy Shri,Ordinary Bill,,,,,,
622,1634,XI,"The Constitution (Amendment) Bill, 1967 (Omission of article 363)",Rajya Sabha,1967-08-04,HOME AFFAIRS,Lokanath Misra Shri,Ordinary Bill,,,,,Lapsed,
623,2403,LXXVI,"The Waqf Repeal Bill, 2022",Rajya Sabha,2023-12-08,MINORITY AFFAIRS,Harnath Singh Yadav Shri,Ordinary Bill,,,,,Removed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/waqf repeal 1 -E1219202361452PM.pdf?source=legislation
624,2403,XLIII,"The Constitution (Amendment) Bill, 2023 (amendment of article 348)",Rajya Sabha,2023-12-08,LAW AND JUSTICE,Harnath Singh Yadav Shri,Ordinary Bill,,,,,Removed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/const348 harnath-E1219202364641PM.pdf?source=legislation
625,2403,XXXVII,"The Population Control Bill, 2021.",Rajya Sabha,2021-12-03,HEALTH AND FAMILY WELFARE,Harnath Singh Yadav Shri,Ordinary Bill,,,,,Removed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/population control-E.pdf?source=legislation
626,2013,LVI,"The Constitution (Amendment) Bill, 2006 (Amendment of article 103 and insertion of new article 324A)",Rajya Sabha,2006-11-24,LAW AND JUSTICE,Manohar Joshi Shri,Constitutional Amendment Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/LVI_ 2006.pdf?source=legislation
627,2013,LXIX,"The Illegal Immigrants (Identification and Deportation) Bill, 2006",Rajya Sabha,2006-11-24,HOME AFFAIRS,Manohar Joshi Dr.,Ordinary Bill,,,,,Withdrawn,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/LXIX_ 2006.pdf?source=legislation
628,49,X,"The Council of States (Amendment) Bill, 1999",Rajya Sabha,2002-12-05,PARLIAMENTARY  AFFAIRS,Y. Lakshmi Prasad Dr.,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/X_1999.pdf?source=legislation
629,49,XXXVIII,"The Mango Growers of Andhra Pradesh and oher Areas (Marketing and other Facilities ) Bill,1998",Rajya Sabha,1998-12-18,AGRICULTURE,Y. Lakshmi Prasad Dr.,Ordinary Bill,,,,,Lapsed,
630,49,VIII,"The Constitution ( Amendment) Bill,1998 (to amend art 74)",Rajya Sabha,1998-12-06,HOME AFFAIRS,Y. Lakshmi Prasad Dr.,Ordinary Bill,,,,,Lapsed,
631,49,XXIX,"The Representation of the people ( Amendment) Bill,1998",Rajya Sabha,1998-04-12,,Y. Lakshmi Prasad Dr.,Ordinary Bill,,,,,Lapsed,
632,49,XXXVI,"The High Court of Andhra Pradesh (Establishment of a Permanent Bench at Visakhapatnam) Bill, 1997",Rajya Sabha,1997-07-25,,Y. Lakshmi Prasad Dr.,Ordinary Bill,,,,,Lapsed,
633,49,XXVII,"the Code of Criminal Procedure (Amendment) Bill, 1997",Rajya Sabha,1997-05-16,HOME AFFAIRS,Y. Lakshmi Prasad Dr.,Ordinary Bill,,,,,Lapsed,
634,49,VIII,"The Administrative Tribunals (Amendment) Bill, 1997",Rajya Sabha,1997-03-21,"PERSONNEL,  PUBLIC  GRIEVANCES  AND  PENSIONS",Y. Lakshmi Prasad Dr.,Ordinary Bill,,,,,Lapsed,
635,2014,XXXII,"The Small Traders (Protection and Other Welfare Measures) Bill, 2008",Rajya Sabha,2008-12-19,COMMERCE AND INDUSTRY,Banwari Lal Kanchhal Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/smal trader XXXII of 08.pdf?source=legislation
636,473,XLII,"The Public Trusts (Place of Registration) Bill, 1969",Rajya Sabha,1969-03-14,,Babubhai Maneklal Chinai Shri,Ordinary Bill,,,,,Lapsed,
637,1255,LXXXIII,"The Family Welfare Bill, 1991",Rajya Sabha,1991-12-20,HEALTH AND FAMILY WELFARE,Narredy Thulasi Reddy Dr.,Ordinary Bill,,,,,Lapsed,
638,475,III,"The Representation of the People (Amendment) Bill, 1968",Rajya Sabha,1968-03-14,,Vimal Kumar Mannalalji Chordia Shri,Ordinary Bill,,,,,,
639,2016,XI,"The Armed Forces (Special Powers) Amendment Bill, 2011",Rajya Sabha,2011-08-05,HOME AFFAIRS,Mahendra Mohan Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/armd.pdf?source=legislation
640,2016,LIV,"The Chairpersons and Members of Tribunals and Commissions (Retirement Age) Bill, 2010",Rajya Sabha,2011-02-25,LAW AND JUSTICE,Mahendra Mohan Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/chairprsn.pdf?source=legislation
641,2016,LV,"The Incest and Sexual Abuse in Family (Offences) Bill, 2010",Rajya Sabha,2011-02-25,WOMEN AND CHILD DEVELOPMENT,Mahendra Mohan Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/incest.pdf?source=legislation
642,2016,XXI,"The Tour Operators and Travel Agents (Regulation) Bill, 2010",Rajya Sabha,2010-05-03,TOURISM,Mahendra Mohan Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/Tour XXI of 10.pdf?source=legislation
643,2016,XXII,"The Marriage Laws (Amendment) Bill, 2009 (insertion of new section 44A)",Rajya Sabha,2009-12-04,LAW AND JUSTICE,Mahendra Mohan Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/marriage XXII 09.pdf?source=legislation
644,2016,XXX,"The Professional Courses (Common Entrance Examinations and Miscellaneous Provisions) Bill, 2009.",Rajya Sabha,2009-12-04,HUMAN RESOURCE  DEVELOPMENT,Mahendra Mohan Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/profess XXX 09.pdf?source=legislation
645,2016,XXXI,"The Consumer Products Safety Authority Bill, 2009.",Rajya Sabha,2009-12-04,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Mahendra Mohan Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/consm XXXI 09.pdf?source=legislation
646,2016,I,"The Prevention of Regionalism Bill, 2009.",Rajya Sabha,2009-07-03,HOME AFFAIRS,Mahendra Mohan Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/region I of 09.pdf?source=legislation
647,2016,III,"The Indian Penal Code (Amendment) Bill, 2009.",Rajya Sabha,2009-07-03,HOME AFFAIRS,Mahendra Mohan Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/IPC III of 09.pdf?source=legislation
648,2016,IV,"The Declaration of Assets and Liabilities by Supreme Court, High Court and Subordinate Courts Judges Bill, 2009.",Rajya Sabha,2009-07-03,LAW AND JUSTICE,Mahendra Mohan Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/declration IV of 09.pdf?source=legislation
649,2016,XXIV,"The Distance Selling (Regulation) Bill, 2008",Rajya Sabha,2008-12-19,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Mahendra Mohan Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/distance selling XXIV of 08.pdf?source=legislation
650,2016,XXIX,"The Constitution (Amendment) Bill, 2008 (amendment of articles 85 and 174)",Rajya Sabha,2008-12-19,LAW AND JUSTICE,Mahendra Mohan Shri,Constitutional Amendment Bill,,,,,Withdrawn,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/const XXIX of 08.pdf?source=legislation
651,2016,XXV,"The Prevention of Vexatious and Frivolous Litigations Bill, 2008",Rajya Sabha,2008-12-19,LAW AND JUSTICE,Mahendra Mohan Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/vexatious XXV of 08.pdf?source=legislation
652,2016,LIX,"The Coaching Centres (Regulation and Control) Bill, 2007",Rajya Sabha,2007-11-30,HUMAN RESOURCE  DEVELOPMENT,Mahendra Mohan Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/Coaching Centres.pdf?source=legislation
653,2016,LX,"The Prohibition on Use of Coercive Methods for Recovery of Bank Loans Bill, 2007",Rajya Sabha,2007-11-30,FINANCE,Mahendra Mohan Shri,Ordinary Bill,,,,,Lapsed,
654,2016,LXII,"The Indian Penal Code (Amendment) BIll, 2007",Rajya Sabha,2007-11-30,LAW AND JUSTICE,Mahendra Mohan Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/IPC.pdf?source=legislation
655,2016,VII,"The Violent and Indecent Video Games (Prohibition on Distribution, Sale and Advertisement) Bill, 2007",Rajya Sabha,2007-03-16,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Mahendra Mohan Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/1219rs.pdf?source=legislation
656,2016,XIV,"The Population Control and Family Welfare Bill, 2007",Rajya Sabha,2007-03-16,HEALTH AND FAMILY WELFARE,Mahendra Mohan Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/1223rs.pdf?source=legislation
657,2016,XV,"The Herbal Medicines (Regulation of Production, Distribution, Sale and Advertisement) Bill, 2007",Rajya Sabha,2007-03-16,HEALTH AND FAMILY WELFARE,Mahendra Mohan Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/1221rs.pdf?source=legislation
658,2016,XCIX,"The Direct Marketing Telephone Calls (Regulation) Bill, 2006",Rajya Sabha,2006-12-08,COMMUNICATIONS AND INFORMATION TECHNOLOGY,Mahendra Mohan Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/XCIX_ 2006.pdf?source=legislation
659,2016,LXXXIX,"The Accident Victims (Compulsory Emergency Medical Aid by Private Hospitals and Medical Practitioners) Bill, 2006",Rajya Sabha,2006-11-24,HEALTH AND FAMILY WELFARE,Mahendra Mohan Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/LXXXIX_ 2006.pdf?source=legislation
660,2016,LXXXVIII,"The Clinical Trial of Drugs on Patients (Regulation) Bill, 2006",Rajya Sabha,2006-11-24,HEALTH AND FAMILY WELFARE,Mahendra Mohan Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/LXXXVIII_ 2006.pdf?source=legislation
661,867,III,"The Constitution ( Amendment ) Bill,1984 ( to amend articles 123, 197,208, 313)",Rajya Sabha,1984-09-03,,S.W. Dhabe Shri,Ordinary Bill,,,,,Lapsed,
662,867,XXXV,"The payment of Bonds ( Amendment) Bill,1983",Rajya Sabha,1983-12-22,LABOUR,S.W. Dhabe Shri,Ordinary Bill,,,,,Lapsed,
663,867,XV,"The Representation of the people (Amendment) Bill,1983",Rajya Sabha,1983-08-19,,S.W. Dhabe Shri,Ordinary Bill,,,,,Lapsed,
664,867,XVI,"The working Journalists and other news paper Employees ( Condition of service and Miscellaneous provisition ) Amendment bill,1983",Rajya Sabha,1983-08-19,LABOUR,S.W. Dhabe Shri,Ordinary Bill,,,,,Lapsed,
665,867,XXII,"The Deposits and Fees ( Regulation and Abolistion) Bill,1982",Rajya Sabha,1982-08-06,,S.W. Dhabe Shri,Ordinary Bill,,,,,,
666,867,XXIX,"The Legislative Councils (Composition) Bill, 1981",Rajya Sabha,1981-09-11,LAW AND JUSTICE,S.W. Dhabe Shri,Ordinary Bill,,,,,Negatived,
667,867,V,"The Trade Union (Amendment ) Bill, 1981",Rajya Sabha,1981-03-13,LABOUR,S.W. Dhabe Shri,Ordinary Bill,,,,,Withdrawn,
668,867,XI,"The Working Journalist and other newspaper Employees (Conditions of rerice ) and Miscellaneses prermisition ( Amendment) Bill, 1980",Rajya Sabha,1980-08-08,LABOUR,S.W. Dhabe Shri,Ordinary Bill,,,,,Withdrawn,
669,867,XII,"The Rural Labour Welfare find Bill, 1980",Rajya Sabha,1980-08-08,LABOUR,S.W. Dhabe Shri,Ordinary Bill,,,,,Negatived,
670,867,III,"The working Journalists and other Newspaper Employees (Conditions of Service) and Miscellaneous Provisions (amendment) Bill, 1978",Rajya Sabha,1978-05-05,INFORMATION AND BROADCASTING,S.W. Dhabe Shri,Ordinary Bill,,,,,Lapsed,
671,867,V,"The Rural labour Welfare Fund Bill, 1978",Rajya Sabha,1978-05-05,LABOUR,S.W. Dhabe Shri,Ordinary Bill,,,,,Lapsed,
672,1256,III,"The Traditional Fishermen (Socio-Economic Protection and Welfare) Bill, 2006",Rajya Sabha,2006-03-03,AGRICULTURE,V. Narayanasamy Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/III_2006.PDF?source=legislation
673,1256,V,"The Agriculture Produce (Renumerative Prices) Bill, 2006",Rajya Sabha,2006-03-03,AGRICULTURE,V. Narayanasamy Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/V_2006.PDF?source=legislation
674,1256,LIX,"The Compulsory and Priority Electricity Supply to Rural Areas, Agriculture and Cottage Industries Sectors Bill, 2005.",Rajya Sabha,2005-07-29,,V. Narayanasamy Shri,Ordinary Bill,,,,,Lapsed,
675,1256,LX,"The Farmers and Village Artisans (Old Age Allowance) Bill, 2005.",Rajya Sabha,2005-07-29,,V. Narayanasamy Shri,Ordinary Bill,,,,,Lapsed,
676,1256,LXIX,"The Other Backward Classes (Proportional Representatin through Reservation in Educational Institutions) Bill, 2005.",Rajya Sabha,2005-07-29,SOCIAL JUSTICE AND EMPOWERMENT,V. Narayanasamy Shri,Ordinary Bill,,,,,Lapsed,
677,1256,L,"The Compulsory Voting and Prohibition of Pre-Poll Survey and Exit Poll of Elections Bill, 2004.",Rajya Sabha,2004-12-17,,V. Narayanasamy Shri,Ordinary Bill,,,,,Negatived,
678,1256,XLIX,"The State Funding of Elections to Lok Sabha and Legislative Assemblies Bill, 2004.",Rajya Sabha,2004-12-17,,V. Narayanasamy Shri,Ordinary Bill,,,,,Lapsed,
679,1256,LX,"The Criminal Injuries to Women and Girls (Compensation) Bill, 1994",Rajya Sabha,1994-08-26,HUMAN RESOURCE  DEVELOPMENT,V. Narayanasamy Shri,Ordinary Bill,,,,,Lapsed,
680,1256,XL,"The State of Pondicherry Bill,1992",Rajya Sabha,1992-07-10,HOME AFFAIRS,V. Narayanasamy Shri,Ordinary Bill,,,,,Withdrawn,
681,1256,LIV,"The High Court of Madras (Establishment of a Permanent Bench at Pondicherry) Bill, 1991",Rajya Sabha,1991-06-12,,V. Narayanasamy Shri,Ordinary Bill,,,,,Lapsed,
682,1256,LIX,"The Constitution Scheduled Castes Order (Amendment) Bill, 1991",Rajya Sabha,1991-06-12,,V. Narayanasamy Shri,Ordinary Bill,,,,,Withdrawn,
683,1256,XLI,"The State of Pondichery, Bill. 1990",Rajya Sabha,1990-08-17,HOME AFFAIRS,V. Narayanasamy Shri,Ordinary Bill,,,,,Lapsed,
684,1256,XXXXI,"The State of Pondichery Bill,1990",Rajya Sabha,1990-08-17,HOME AFFAIRS,V. Narayanasamy Shri,Ordinary Bill,,,,,Lapsed,
685,2409,V,"The Criminal Laws (Amendment) Bill, 2021",Rajya Sabha,2022-02-04,HOME AFFAIRS,Prashanta Nanda Dr.,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/criminal law amend-E.pdf?source=legislation
686,56,LXXVII,"The free Education Bill, 2002",Rajya Sabha,2003-02-21,HUMAN RESOURCE  DEVELOPMENT,P.K. Maheshwari Shri,Ordinary Bill,,,,,Lapsed,
687,56,LXXVIII,"The Constitution ( Amendment) Bill, 2002 (insertion of new article 21 A and 21B",Rajya Sabha,2003-02-21,RURAL DEVELOPMENT,P.K. Maheshwari Shri,Ordinary Bill,,,,,Lapsed,
688,2411,II,"THE UNIFORM CIVIL CODE IN INDIA BILL, 2020",Rajya Sabha,2022-12-09,LAW AND JUSTICE,Kirodi Lal Meena Dr.,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/UCC-Kirodi 91222-E1213202281611PM.pdf?source=legislation
689,2411,I,"The Special Financial Assistance to the State of Rajasthan Bill, 2020",Rajya Sabha,2020-02-07,FINANCE,Kirodi Lal Meena Dr.,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/spl Rajas-E-7 2 20.pdf?source=legislation
690,2411,XXXII,"The Mangarh Dham National Memorial Bill, 2019",Rajya Sabha,2019-11-22,CULTURE,Kirodi Lal Meena Dr.,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/mangarh-E-22 11 19.pdf?source=legislation
691,2411,XXXIV,"The Tribal (Adivasi) Regiment Bill, 2019",Rajya Sabha,2019-11-22,DEFENCE,Kirodi Lal Meena Dr.,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/tribal-E-22 11 19.pdf?source=legislation
692,2411,XXXV,"The Reservation for Scheduled Castes and Scheduled Tribes in Private Sector Bill, 2019",Rajya Sabha,2019-11-22,SOCIAL JUSTICE AND EMPOWERMENT,Kirodi Lal Meena Dr.,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/Resr SC-E-22 11 19.pdf?source=legislation
693,2411,XXIII,"The National Commission for Welfare of Farmers Bill, 2019",Rajya Sabha,2019-07-26,AGRICULTURE,Kirodi Lal Meena Dr.,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/NCWF-E-26 7 19.pdf?source=legislation
694,477,233,"The Securitisation and Reconstruction of Financial Assets and Enforcement of Security Interest (Amendment) Bill, 2022 (Amendment of section 31).",Lok Sabha,2023-08-04,FINANCE,Suresh Kodikunnil Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/233 of 2022 EV AS84202375051PM.pdf?source=legislation
695,477,36,"The Railways (Amendment) Bill, 2021 (Insertion of section 11A).",Lok Sabha,2022-12-09,RAILWAYS,Suresh Kodikunnil Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/36 OF 2021 AS12122022110444AM.pdf?source=legislation
696,477,85,"The Juvenile Justice (Care and Protection of Children) Amendment  Bill, 2021 (Amendment of section 75)",Lok Sabha,2022-12-09,WOMEN AND CHILD DEVELOPMENT,Suresh Kodikunnil Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/85 OF 2021 AS12122022110648AM.pdf?source=legislation
697,477,95,"The Information Technology (Amendment) Bill, 2021 (Substitution of  new  section  for section 43A)",Lok Sabha,2022-12-09,ELECTRONICS AND INFORMATION TECHNOLOGY,Suresh Kodikunnil Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/95 OF 2021 AS12122022110545AM.pdf?source=legislation
698,477,280,"The Information Technology (Amendment) Bill, 2019 (Insertion of new section 66CA).",Lok Sabha,2022-02-04,ELECTRONICS AND INFORMATION TECHNOLOGY,Suresh Kodikunnil Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/280 of 2019As.pdf?source=legislation
699,477,57,"The Constitution (Amendment) Bill, 2020 (Amendment of article 16)",Lok Sabha,2022-02-04,SOCIAL JUSTICE AND EMPOWERMENT,Suresh Kodikunnil Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/57 of 2020  AS INTRO.pdf?source=legislation
700,477,69,"The Information Technology (Amendment) Bill, 2020 (Amendment of section 7)",Lok Sabha,2022-02-04,ELECTRONICS AND INFORMATION TECHNOLOGY,Suresh Kodikunnil Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/69 of 2020 As Int.pdf?source=legislation
701,477,84,"The Reservation for Scheduled Castes and Scheduled Tribes in Private Sector Bill, 2019",Lok Sabha,2019-07-12,SOCIAL JUSTICE AND EMPOWERMENT,Suresh Kodikunnil Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/504LS As Int....pdf?source=legislation
702,477,287,"The Prohibition Bill, 2015",Lok Sabha,2015-12-18,HUMAN RESOURCE  DEVELOPMENT,Suresh Kodikunnil Shri,Financial Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/3048LS.pdf?source=legislation
703,477,309,"The Residential Schools (For Scheduled Castes and Scheduled Tribes) Bill, 2015",Lok Sabha,2015-12-18,HUMAN RESOURCE  DEVELOPMENT,Suresh Kodikunnil Shri,Financial Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/3086LS.pdf?source=legislation
704,477,322,"The Reservation for Scheduled Castes and Scheduled Tribes in Private Sector Bill, 2015",Lok Sabha,2015-12-18,SOCIAL JUSTICE AND EMPOWERMENT,Suresh Kodikunnil Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/2880LS.pdf?source=legislation
705,477,148,"The Scheduled Castes Hamlets (Provision of Basic Facilities) Bill, 2014.",Lok Sabha,2014-12-12,SOCIAL JUSTICE AND EMPOWERMENT,Suresh Kodikunnil Shri,Financial Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/2757LS.pdf?source=legislation
706,477,163,"The Commercial Crop Workers (Welfare) Bill, 2014.",Lok Sabha,2014-12-12,LABOUR,Suresh Kodikunnil Shri,Financial Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/2875LS.pdf?source=legislation
707,477,181,"The Central Homeopathy University Bill, 2014.",Lok Sabha,2014-12-12,HEALTH AND FAMILY WELFARE,Suresh Kodikunnil Shri,Financial Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/3267LS.pdf?source=legislation
708,477,41,"The Scheduled Castes Hamlets (Provision of Basic Facilities) Bill, 2012.",Lok Sabha,2012-04-27,SOCIAL JUSTICE AND EMPOWERMENT,Suresh Kodikunnil Shri,Financial Bill,,,,,Removed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/43LS.pdf?source=legislation
709,477,42,"The Commercial Crops Workers (Welfare) Bill, 2012.",Lok Sabha,2012-04-27,LABOUR  AND  EMPLOYMENT,Suresh Kodikunnil Shri,Financial Bill,,,,,Removed,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/41LS.pdf?source=legislation
