id,srno,committeeName,status,house,Date
149,2478,Committee on Welfare of Other Backward Classes,Member,Lok Sabha,2025-09-09
150,2478,"Labour, Textiles and Skill Development",Member,Lok Sabha,2025-09-26
151,2029,Privileges,Member,Rajya Sabha,2025-10-31
152,2029,Rural Development and Panchayati Raj,Member,Lok Sabha,2025-12-23
153,2481,Petitions,Member,Rajya Sabha,2024-10-22
154,2481,Rural Development and Panchayati Raj,Member,Lok Sabha,2025-09-26
155,2482,General Purposes Committee,Member,Rajya Sabha,2025-11-13
156,2483,Papers Laid on the table,Member,Rajya Sabha,2024-10-22
157,2483,Water Resources,Member,Lok Sabha,2025-09-26
158,2487,Rural Development and Panchayati Raj,Member,Lok Sabha,2025-09-26
159,2487,Social Justice & Empowerment,Member,Lok Sabha,2025-09-26
160,2488,"Personnel, Public Grievances, Law and Justice",Chairman,Rajya Sabha,2025-09-26
161,2488,General Purposes Committee,Member,Rajya Sabha,2025-11-13
162,2488,JCCA and UTB,Member,Lok Sabha,2025-11-12
163,2488,"Joint Committee on the Waqf (Amendment) Bill, 2024",Member,Lok Sabha,2024-08-13
164,2489,Rules,Member,Rajya Sabha,2024-12-31
165,2489,Social Justice & Empowerment,Member,Lok Sabha,2025-09-26
166,2490,Industry,Member,Rajya Sabha,2025-09-26
167,2490,Water Resources,Member,Lok Sabha,2025-09-26
168,2493,Business Advisory Committee,Member,Rajya Sabha,2024-11-25
169,2493,Chemicals & Fertilizers,Member,Lok Sabha,2025-09-26
170,2493,Defence,Member,Lok Sabha,2025-09-26
171,2494,Papers Laid on the table,Member,Rajya Sabha,2024-10-22
172,2494,Social Justice & Empowerment,Member,Lok Sabha,2025-09-26
173,2497,Papers Laid on the table,Member,Rajya Sabha,2024-10-22
174,2497,"Consumer Affairs, Food and Public Distribution",Member,Lok Sabha,2025-09-26
175,2498,External Affairs,Member,Lok Sabha,2025-09-26
176,2498,Public Undertakings,Member,Lok Sabha,2025-05-01
177,2499,Committee on Welfare of Other Backward Classes,Member,Lok Sabha,2025-09-09
178,2499,Petroleum & Natural Gas,Member,Lok Sabha,2025-09-26
179,2499,Welfare of Scheduled Castes and Scheduled Tribes,Member,Lok Sabha,2025-05-01
180,2500,"Joint Committee on the Jan Vishwas (Amendment of Provisions) Bill, 2022",Member,Lok Sabha,2022-12-22
181,2501,"Joint Committee on the Biological Diversity (Amendment) Bill, 2021",Member,Lok Sabha,2021-12-20
182,2501,"Joint Committee on the Forest (Conservation) Amendment Bill, 2023",Member,Lok Sabha,2023-03-29
183,2502,"Joint Committee on the Waqf (Amendment) Bill, 2024",Member,Lok Sabha,2024-08-13
184,2506,MPLADS,Member,Rajya Sabha,2024-10-23
185,2506,Committee on Welfare of Other Backward Classes,Member,Lok Sabha,2025-09-09
186,2506,Petroleum & Natural Gas,Member,Lok Sabha,2025-09-26
187,2505,Commerce,Member,Rajya Sabha,2025-09-26
188,2505,Empowerment of Women,Member,Lok Sabha,2025-04-21
189,2505,"Joint Committee on the Jan Vishwas (Amendment of Provisions) Bill, 2022",Member,Lok Sabha,2022-12-22
190,2505,Welfare of Scheduled Castes and Scheduled Tribes,Member,Lok Sabha,2025-05-01
191,238,Petitions,Member,Rajya Sabha,2024-10-22
192,238,Home Affairs,Member,Rajya Sabha,2025-09-26
193,238,JCCA and UTB,Member,Lok Sabha,2025-11-12
194,2507,Subordinate Legislation,Member,Rajya Sabha,2024-10-22
195,2507,Water Resources,Member,Lok Sabha,2025-09-26
196,2508,Finance,Member,Lok Sabha,2025-09-26
197,2511,Petitions,Member,Rajya Sabha,2024-10-22
198,2511,Chemicals & Fertilizers,Member,Lok Sabha,2025-09-26
199,2511,Welfare of Scheduled Castes and Scheduled Tribes,Member,Lok Sabha,2025-05-01
200,2064,Government Assurances,Member,Rajya Sabha,2025-07-24
201,2064,Energy,Member,Lok Sabha,2025-09-26
202,2064,JCCA and UTB,Member,Lok Sabha,2025-11-12
203,2064,Joint Committee on Salaries and Allowances of Members of Parliament,Member,Lok Sabha,2025-07-24
204,2064,"Joint Committee on the Forest (Conservation) Amendment Bill, 2023",Member,Lok Sabha,2023-03-29
205,2512,"Education, Women, Children, Youth and Sports",Member,Rajya Sabha,2025-09-26
206,2513,Petitions,Member,Rajya Sabha,2024-10-22
207,2513,Water Resources,Member,Lok Sabha,2025-09-26
208,2515,Petitions,Member,Rajya Sabha,2024-10-22
209,2515,Rules,Member,Rajya Sabha,2024-12-31
210,2515,"Science and Technology, Environment, Forests and Climate Change",Member,Rajya Sabha,2025-09-26
211,2514,Housing and Urban Affairs,Member,Lok Sabha,2025-09-26
212,2516,House Committee,Member,Rajya Sabha,2024-04-02
213,2516,"Transport, Tourism and Culture",Member,Rajya Sabha,2025-09-26
214,2516,Welfare of Scheduled Castes and Scheduled Tribes,Member,Lok Sabha,2025-05-01
215,2518,Information and Communication Technology Management in Rajya Sabha,Member,Rajya Sabha,2024-10-23
216,2518,Defence,Member,Lok Sabha,2025-09-26
217,2520,Health and Family Welfare,Member,Rajya Sabha,2025-09-26
218,2522,Papers Laid on the table,Member,Rajya Sabha,2024-10-22
219,2522,MPLADS,Member,Rajya Sabha,2024-10-23
220,2522,External Affairs,Member,Lok Sabha,2025-09-26
221,2521,Housing and Urban Affairs,Member,Lok Sabha,2025-09-26
222,2524,Petroleum & Natural Gas,Member,Lok Sabha,2025-09-26
223,2525,Information and Communication Technology Management in Rajya Sabha,Chairman,Rajya Sabha,2024-11-29
224,2525,Health and Family Welfare,Member,Rajya Sabha,2025-09-26
225,2525,General Purposes Committee,Member,Rajya Sabha,2025-11-13
226,2526,Information and Communication Technology Management in Rajya Sabha,Member,Rajya Sabha,2025-03-03
227,2526,Communications and Information Technology,Member,Lok Sabha,2025-09-26
228,2526,JCCA and UTB,Member,Lok Sabha,2025-11-12
