srno,member_name,party,state_ut,status,age,term
589,"Thomas, Dr. Parekunnel Joseph",Independent & Others,Kerala,Former,,1 (1957–1962)
590,"Chatterjee, Shri Arun Prakash",Communist Party of India (Marxist),West Bengal,Former,,1 (1966–1972)
591,"Thihmareddy, Smt. Annapurna Devi",Congress,Mysore,Former,,"2 (1958–1964, 1964–1970)"
592,"Varma, Shri Bhagwati Charan",Nominated,Nominated,Former,,1 (1978–1984)
593,"Thimmabovi, Shri L.H.",Congress,Mysore,Former,,1 (1952–1952)
594,"Varma, Shri C.L.",Congress,Bilaspur and Himachal Pradesh,Former,,"2 (1952–1958, 1964–1970)"
595,"Thengari, Shri Dattopant Bapurao",Jansangh,Uttar Pradesh,Former,,"2 (1964–1970, 1970–1976)"
596,"Varma, Shri Mahadeo Prasad",Janata,Uttar Pradesh,Former,,1 (1974–1980)
597,"Thazhava, Shri Kesavan",Communist Party of India (Marxist),Kerala,Former,,1 (1967–1973)
598,"Thaware, Shri Gangaram Mathaji",Congress,Madhya Pradesh,Former,,1 (1952–1952)
599,"Varma, Shri Man Singh",Jansangh,Uttar Pradesh,Former,,1 (1968–1974)
600,"Tharadevi, Smt. D.K.",CONG(I),Karnataka,Former,,1 (1990–1996)
601,"Atwal, Shri Surjit Singh",Congress,Punjab,Former,,1 (1962–1968)
602,"Thanulingam, Shri P.",Congress,Madras,Former,,1 (1964–1968)
603,"Aurora, Sardar Jagjit Singh",Akali Dal,Punjab,Former,,1 (1986–1992)
604,"Thanhlira, Shri Raymond",Congress,Assam,Former,,1 (1952–1958)
605,"Chatterjee, Prof.(Smt) Asima",Nominated,Nominated,Former,,"2 (1982–1984, 1984–1990)"
606,"Thanglura, Shri A.",Congress,Assam,Former,,"2 (1962–1964, 1964–1970)"
607,"Thangkabalu, Shri K.V.",CONG(I),Tamil Nadu,Former,,1 (1984–1990)
609,"Chatterjee, Shri Jogesh Chandra",Congress,Uttar Pradesh,Former,,"3 (1956–1960, 1960–1966, 1966–1972)"
610,"Chatterjee, Shri Nirmal",Communist Party of India (Marxist),West Bengal,Former,,1 (1982–1988)
611,"Varma, Smt. Narayani Devi",Congress,Rajasthan,Former,,1 (1970–1976)
612,"Varma, Shri Niranjan",Jansangh,Madhya Pradesh,Former,,1 (1966–1972)
613,"Vasan, Shri S.S.",Congress,Madras,Former,,1 (1964–1970)
614,"Vasavada, Shri Shamprasad Rupshanker",Congress (O),Gujarat,Former,,"2 (1968–1970, 1970–1976)"
615,"Vasisht, Ms. Shanta",Congress,Delhi,Former,,"2 (1960–1966, 1966–1972)"
616,"Veerappan, Shri K.K.",Dravida Munnetra Kazhagam,Tamil Nadu,Former,,1 (1990–1996)
617,"Austin, Shri S.",All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,Former,,1 (1992–1998)
618,"Venka, Shri V.",Dravida Munnetra Kazhagam,Tamil Nadu,Former,,1 (1978–1984)
619,"Avergoankar, Shri R.D. Jagtap",CONG(I),Maharashtra,Former,,1 (1974–1980)
620,"Ayyangar, Shri Narasimha Gopalaswami",Congress,Madras,Former,,1 (1952–1956)
621,"Ayyar, Shri Alladi Krishnaswami",Nominated,Nominated,Former,,1 (1952–1958)
622,"Venkatachalam, Shri T.M.",All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,Former,,1 (1996–2002)
623,"Venkatanarayana, Shri Pydah",Praja Socialist Party,Madras,Former,,1 (1952–1958)
624,"Qasim, Shri Syyed Mir",Congress,Jammu & Kashmir,Former,,1 (1975–1978)
625,"Venkatappa, Shri J",Other,Mysore,Former,,1 (1962–1968)
626,"Qausem, Shri Mostafa Bin",Communist Party of India (Marxist),West Bengal,Former,,1 (1984–1990)
627,"Venkataraman, Shri M.R.",Communist Party of India (Marxist),Madras,Former,,1 (1968–1974)
628,"Venkataraman, Shri S.",Congress,Madras,Former,,"2 (1952–1956, 1956–1962)"
629,"Venkatraman, Shri Tindivanam G",Dravida Munnetra Kazhagam,Tamil Nadu,Former,,1 (1989–1995)
630,"Venkataramana, Shri Villuri",Congress,Andhra Pradesh,Former,,"2 (1953–1956, 1956–1962)"
631,"Venkatrao, Shri Chadalavada",CONG(I),Andhra Pradesh,Former,,1 (1978–1984)
632,"Verma, Shri Ashok Nath",Janata Dal (Secular),Uttar Pradesh,Former,,1 (1986–1992)
633,"Verma, Shri Kapil",CONG(I),Uttar Pradesh,Former,,"2 (1985–1986, 1986–1992)"
634,"Verma, Shri Kesho Prasad",Other,Madhya Pradesh,Former,,1 (1960–1966)
635,"Verma, Shri Shrikant",CONG(I),Madhya Pradesh,Former,,"2 (1976–1982, 1982–1988)"
636,"Qureshi, Shri M. Shafi",Congress,Jammu & Kashmir,Former,,1 (1965–1971)
637,"Verma, Smt. Veena",CONG(I),Madhya Pradesh,Former,,"3 (1986–1988, 1988–1994, 1994–2000)"
638,"Verma, Shri Virendra",Janata Dal,Uttar Pradesh,Former,,"2 (1984–1990, 1990–1996)"
639,"Padmanabham, Shri Mentay",Telugu Desam Party,Andhra Pradesh,Former,,1 (1989–1994)
640,"Pahadia, Shri Jagannath Prasad",Other,Rajasthan,Former,,"2 (1965–1966, 1966–1967)"
641,"Pahadia, Smt. Shanti",CONG(I),Rajasthan,Former,,1 (1984–1990)
642,"Pai, Shri T.A.",Congress,Karnataka,Former,,1 (1972–1978)
643,"Palaniyandi, Shri M.",CONG(I),Tamil Nadu,Former,,1 (1986–1992)
644,"Paliwal, Shri Srikrishna Dutt",Congress,Uttar Pradesh,Former,,1 (1967–1968)
645,"Gadgil, Dr. D R",Nominated,Nominated,Former,,1 (1966–1972)
646,"Gadgil, Shri V. N.",Congress,Maharashtra,Former,,"3 (1971–1976, 1976–1982, 1994–2000)"
647,"Gaikwad, Shri B K",Republican,Maharashtra,Former,,"2 (1962–1968, 1968–1974)"
648,"Paliwal, Shri Tika Ram",Other,Rajasthan,Former,,1 (1958–1964)
649,"Gaj Singh, Shri",Independent & Others,Rajasthan,Former,,1 (1990–1992)
650,"Panda, Shri Akshay",Indian National Congress,Odisha,Former,,1 (1980–1986)
652,"Galib, Shaik",Congress,Andhra Pradesh,Former,,1 (1954–1960)
653,"Gandhi, Smt. Indira",Indian National Congress,Uttar Pradesh,Former,,1 (1964–1970)
654,"Gandhi, Shri Raj Mohan",Janata Dal,Uttar Pradesh,Former,,1 (1990–1992)
655,"Ganesan, Shri L.",Dravida Munnetra Kazhagam,Tamil Nadu,Former,,1 (1980–1986)
656,"Ganesan, Shri Misa R.",Dravida Munnetra Kazhagam,Tamil Nadu,Former,,1 (1990–1996)
657,"Ganesan, Shri V. C.",Nominated,Nominated,Former,,1 (1982–1986)
658,"Ganeshwar Kusum, Shri",CONG(I),Odisha,Former,,1 (1984–1990)
659,"Ganguli, Shri Salil Kumar",Communist Party of India (Marxist),West Bengal,Former,,1 (1970–1976)
660,"Gautam, Shri Anand Prakash",Independent & Others,Uttar Pradesh,Former,,"2 (1985–1986, 1988–1994)"
661,"Gautam, Shri Mohan Lal",Congress,Uttar Pradesh,Former,,1 (1969–1972)
669,"Thakur, Shri Surendra Singh",CONG(I),Madhya Pradesh,Former,,1 (1986–1992)
670,"Thakur, Shri Rameshwar",CONG(I),Bihar,Former,,"2 (1984–1990, 1990–1996)"
671,"George, Shri K. C.",Communist Party of India,Travancore Cochin,Former,,1 (1952–1954)
672,"Ghose, Shri Bimal Comar",Praja Socialist Party,West Bengal,Former,,1 (1952–1958)
673,"Jagatpal Singh, Thakur",Indian National Congress,Madhya Pradesh,Former,,1 (1984–1990)
674,"Thakur, Shri Gunanand",Congress,Bihar,Former,,1 (1972–1978)
675,"Thakur, Prof. Chandresh P.",CONG(I),Bihar,Former,,1 (1986–1992)
676,"Ghose, Shri Sankar",Congress,West Bengal,Former,,1 (1976–1982)
677,"Ghose, Shri Surendra Mohan",Congress,West Bengal,Former,,"2 (1956–1962, 1962–1968)"
678,"Ghosh, Shri Arabinda",Communist Party of India (Marxist),West Bengal,Former,,1 (1981–1987)
679,"Ghose, Principal Devaprasad",Jansangh,West Bengal,Former,,1 (1952–1954)
680,"Ghosh, Shri Dipen",Communist Party of India (Marxist),West Bengal,Former,,"2 (1981–1987, 1987–1993)"
681,"Ghosh, Shri Niren",Communist Party of India (Marxist),West Bengal,Former,,"2 (1962–1968, 1969–1975)"
682,"Ghosh, Shri Shantimoy",Communist Party of India (Marxist),West Bengal,Former,,1 (1984–1987)
683,"Ghosh, Shri Sudhir",Congress,West Bengal,Former,,1 (1960–1966)
684,"Gilbert, Shri Albert Crozier",Congress,Uttar Pradesh,Former,,"2 (1960–1964, 1964–1970)"
685,"Gilder, Dr. Muncheshaw Dhunjeebhai Dorabjee",Congress,Bombay,Former,,"2 (1952–1956, 1956–1960)"
686,"Thakur Das, Shri",Congress,Uttar Pradesh,Former,,1 (1952–1958)
687,"Thacker, Shri Premji Bhavanji",Congress,Gujarat,Former,,1 (1952–1952)
688,"Tayyebulla, Maulana M.",Congress,Assam,Former,,"2 (1952–1958, 1958–1964)"
689,"Tariang, Shri Jerlie E.",CONG(I),Meghalaya,Former,,1 (1984–1990)
690,"Tara Chand, Dr.",Nominated,Nominated,Former,,"2 (1957–1962, 1962–1968)"
691,"Tapase, Shri Ganpatrao Devji",Congress,Maharashtra,Former,,1 (1962–1968)
692,"Tanvir, Shri Habib",Nominated,Nominated,Former,,1 (1972–1978)
693,"Tankha, Pandit Sham Sundar Narain",Congress,Uttar Pradesh,Former,,"3 (1952–1958, 1958–1964, 1964–1970)"
694,"Tandon, Shri Purushottam Das",Congress,Uttar Pradesh,Former,,1 (1957–1963)
695,"Tamta, Shri Ram Prasad",Congress,Uttar Pradesh,Former,,"2 (1952–1956, 1956–1962)"
696,"Tama, Shri Ratan",CONG(I),Arunachal Pradesh,Former,,1 (1978–1984)
697,"Talwar, Dr.(Smt.) Mangla Devi",Congress,Rajasthan,Former,,1 (1966–1972)
699,"Talwandi, Sardar Jagdev Singh",Shiromani Akali Dal,Punjab,Former,,1 (1980–1986)
700,"Talib, Shri Niranjan Singh",Congress,Punjab,Former,,1 (1974–1978)
702,"Talari Manohar, Shri",Telugu Desam Party,Andhra Pradesh,Former,,1 (1986–1992)
703,"Gill, Shri Raghbir Singh",CONG(I),Punjab,Former,,1 (1976–1982)
706,"Tajamul Husain, Shri",Indian National Congress,Bihar,Former,,"2 (1952–1956, 1956–1962)"
707,"Taimur, Smt. Syeda Anwara",Indian National Congress,Assam,Former,89.0,"2 (1988–1990, 2004–2010)"
708,"Giri Prasad, Shri N.",Communist Party of India,Andhra Pradesh,Former,,1 (1992–1998)
709,"Dwivedy, Shri Surendranath",Socialist Party,Odisha,Former,,1 (1952–1956)
710,"Dwivedi, Shri Devendra Nath",Congress,Uttar Pradesh,Former,,1 (1974–1980)
711,"Gogoi, Shri Tilok",CONG(I),Assam,Former,,1 (1977–1980)
712,"Dwibedy, Shri Bairagi",Swatantra Party,Odisha,Former,,1 (1960–1966)
714,"Dutta, Shri Trilochan",Congress,Jammu & Kashmir,Former,,1 (1954–1960)
715,"Ashwani Kumar, Shri",Bharatiya Janata Party,Bihar,Former,,"2 (1980–1986, 1986–1992)"
716,"Dutta, Dr. B.B.",Nominated,Nominated,Former,,1 (1993–1999)
717,"Dutt, Dr. Vidya Prakash",Congress,Nominated,Former,,"2 (1971–1974, 1974–1980)"
719,"Golandaz Mohammedhusain, Shri",CONG(I),Gujarat,Former,,1 (1976–1982)
720,"Dutt, Smt. Nargis",Nominated,Nominated,Former,,1 (1980–1986)
721,"Gopal, Shri V G",Congress,Bihar,Former,,1 (1952–1956)
723,"Angelina Tiga, Smt.",Jharkhand Party,Bihar,Former,,1 (1952–1954)
724,"Gopal Singh, Dr.",Nominated,Nominated,Former,,1 (1962–1968)
725,"Gopalakrishnan, Shri R.",Indian National Congress,Madras,Former,,1 (1960–1964)
726,"Gopalan, Shri K.",Janata (G),Kerala,Former,,1 (1982–1988)
727,"Gopalan, Shri R. T.",All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,Former,,1 (1986–1992)
728,"Vaiko, Shri",Marumalarchi Dravida Munetra Kazhagam,Tamil Nadu,Former,81.0,"4 (1978–1984, 1984–1990, 1990–1996, 2019–2025)"
729,"Goradia, Shri Prafull",Bharatiya Janata Party,Gujarat,Former,,1 (1998–2000)
730,"Goray, Shri N G",Socialist Party,Maharashtra,Former,,1 (1970–1976)
731,"Goswami, Shri Biswa",Other,Assam,Former,,1 (1980–1986)
732,"Goswami, Shri Dinesh",Congress,Assam,Former,,"2 (1978–1984, 1990–1996)"
733,"Goswami, Shri Sriman Prafulla",Congress,Assam,Former,,"2 (1967–1972, 1974–1980)"
734,"Goswami, Shri Ramnarayan",Communist Party of India (Marxist),West Bengal,Former,,"3 (1986–1987, 1987–1993, 1993–1999)"
735,"Gour, Dr. Raj Bahadur",Communist,Andhra Pradesh,Former,,
736,"Gowda, Shri D. B. Chandre",Janata Dal,Karnataka,Former,,1 (1986–1992)
737,"Gowda, Shri K. G. Thimme",Janata Dal,Karnataka,Former,,1 (1984–1990)
738,"Gowda, Shri K. S. Malle",Independent & Others,Karnataka,Former,,"2 (1970–1976, 1976–1982)"
739,"Gowda, Shri U.K. Lakshmana",Independent & Others,Karnataka,Former,,"2 (1968–1974, 1974–1980)"
740,"Goyal, Shri J.P.",Lok Dal,Uttar Pradesh,Former,,1 (1982–1988)
741,"Guha, Dr.(Smt.) Phulrenu",Congress,West Bengal,Former,,1 (1964–1970)
742,"Gujral, Shri Inder Kumar",Janata Dal,Punjab,Former,,"3 (1964–1970, 1970–1976, 1992–1998)"
743,"Gulsher Ahmed, Shri",Congress,Vindhya Pradesh,Former,,1 (1952–1956)
744,"Gupta, Shri Balkrishna",Sikkim Sangram Parishad,Bihar,Former,,1 (1968–1974)
745,"Gupta, Shri Bhupesh",Communist Party of India,West Bengal,Former,,"5 (1952–1958, 1958–1964, 1964–1970, 1970–1976, 1976–1982)"
746,"Gupta, Shri Gurudev",Congress,Madhya Pradesh,Former,,"2 (1960–1966, 1976–1982)"
747,"Gupta, Dr. Ishwar Chandra",Bharatiya Janata Party,Uttar Pradesh,Former,,1 (1992–1998)
748,"Gupta, Shri Maithilisharan",Nominated,Nominated,Former,,"2 (1952–1958, 1958–1964)"
749,"Gupta, Shri Narain Prasad",Bharatiya Janata Party,Madhya Pradesh,Former,,1 (1992–1998)
750,"Gupta, Shri R. C.",Congress,Uttar Pradesh,Former,,"2 (1952–1954, 1954–1960)"
751,"Gupta, Shri Ram Gopal",Swatantra Party,Uttar Pradesh,Former,,1 (1960–1966)
752,"Gupta, Shri Ram Lakhan Prasad",Bharatiya Janata Party,Bihar,Former,,1 (1978–1984)
753,"Gupta, Shri Shyamlal",Janata,Bihar,Former,,1 (1972–1978)
754,"Gupta, Shri Vishwa Bandhu",CONG(I),National Capital Territory of Delhi,Former,,1 (1984–1990)
755,"Gupte, Shri Bhalchanda Maheshwar",Congress,Bombay,Former,,1 (1952–1958)
756,"Gurumoorthy, Shri B. V.",Congress,Hyderabad,Former,,1 (1954–1956)
757,"Gurung, Shri T. S.",Communist Party of India (Marxist),West Bengal,Former,,1 (1986–1990)
758,"Panda, Shri Brahmananda",Congress,Odisha,Former,,"2 (1967–1972, 1972–1978)"
759,"Panda, Smt. Ila",Janata Dal,Odisha,Former,,1 (1992–1998)
760,"Gurupadaswamy, Shri M. S.",Janata Dal,Uttar Pradesh,Former,,"4 (1960–1966, 1966–1972, 1984–1990, 1990–1992)"
761,"Panda, Shri Krishna Chandra",Swatantra Party,Odisha,Former,,1 (1968–1974)
762,"Pande, Shri Bishambhar Nath",Nominated,Uttar Pradesh,Former,,"3 (1976–1982, 1982–1988, 1988–1994)"
763,"Pande, Shri C.D.",Congress,Uttar Pradesh,Former,,"2 (1962–1968, 1968–1974)"
764,"Guruswami, Shri S.",Other,Madras,Former,,1 (1952–1954)
765,"Pande, Shri Tarkeshwar",Congress,Uttar Pradesh,Former,,"4 (1952–1958, 1958–1964, 1964–1970, 1966–1970)"
766,"Gyan Ranjan, Shri",CONG(I),Bihar,Former,,1 (1996–2002)
767,"Pandey, Smt. Manorama",CONG(I),Bihar,Former,,"2 (1980–1986, 1986–1992)"
768,"Pandey, Shri Narsingh Narain",CONG(I),Uttar Pradesh,Former,,1 (1980–1982)
769,"Dutt, Dr. Nalinaksha",Congress,West Bengal,Former,,"2 (1952–1954, 1954–1960)"
770,"Pandey, Dr. Ratnakar",CONG(I),Uttar Pradesh,Former,,1 (1986–1992)
771,"Dutt, Shri Krishan",Congress,Jammu & Kashmir,Former,,1 (1960–1966)
772,"Pandian, Shri N. Thangaraj",All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,Former,,1 (1992–1998)
774,"Pandey, Shri Sudhakar",CONG(I),Uttar Pradesh,Former,,1 (1980–1986)
775,"Duggal, Shri Harcharan Singh",Other,Punjab,Former,,1 (1969–1970)
776,"Panicker, Shri K. Vasudeva",CONG(I),Odisha,Former,,1 (1984–1990)
777,"Dugal, Shri Uttam Singh",Independent & Others,Punjab,Former,,1 (1964–1970)
778,"Panigrahi, Shri Swapnananda",Congress,Odisha,Former,,1 (1954–1960)
779,"Dubey, Shri Bindeshwari",CONG(I),Bihar,Former,,1 (1988–1994)
780,"Dube, Pandit Sitacharan",Congress,Madhya Pradesh,Former,,1 (1952–1954)
781,"Panikkar, Sardar K.M.",Nominated,Nominated,Former,,"2 (1959–1960, 1960–1966)"
782,"Dube, Dr. R.P.",Congress,Madhya Pradesh,Former,,1 (1952–1960)
783,"Rachaiah, Shri B.",Congress,Karnataka,Former,,1 (1974–1980)
784,"Panjhazari, Sardar Raghbir Singh",Congress,Patiala and East Punjab States Union,Former,,"3 (1954–1960, 1960–1966, 1966–1972)"
785,"Dube, Shri Bodh Ram",Congress,Odisha,Former,,1 (1952–1958)
786,"Rafique Alam, Shri",CONG(I),Bihar,Former,,"2 (1982–1988, 1988–1994)"
787,"Dube, Shri Baij Nath",Socialist Party,Vindhya Pradesh,Former,,1 (1952–1954)
788,"Pant, Pandit Govind Ballabh",Congress,Uttar Pradesh,Former,,"2 (1955–1958, 1958–1964)"
789,"Radhakrishna, Shri Puttapaga",Telugu Desam Party,Andhra Pradesh,Former,,1 (1984–1990)
790,"D'souza, Dr. Joseph Leon",Indian National Congress,Maharashtra,Former,,1 (1980–1986)
791,"Pant, Shri K.C.",CONG(I),Uttar Pradesh,Former,,1 (1978–1984)
792,"Raghavji, Shri",Bharatiya Janata Party,Madhya Pradesh,Former,,"2 (1991–1992, 1994–2000)"
793,"Dronamraju, Shri Satyanarayana",CONG(I),Andhra Pradesh,Former,,"2 (1988–1994, 1994–2000)"
794,"Panwar, Shri B.L.",CONG(I),Rajasthan,Former,,"2 (1985–1986, 1986–1992)"
795,"Doshi, Shri Lalchand Hirachand",Congress,Bombay,Former,,1 (1952–1958)
796,"Raghu Vira, Dr.",Congress,Bombay,Former,,"2 (1952–1956, 1956–1962)"
797,"Papireddi, Shri Bezawada",Janata,Andhra Pradesh,Former,,1 (1972–1978)
798,"Doogar, Shri Rajpat Singh",Independent & Others,West Bengal,Former,,"4 (1952–1954, 1954–1960, 1960–1966, 1966–1972)"
799,"Raghubir Sinh, Dr.",Congress,Madhya Bharat,Former,,"2 (1952–1954, 1954–1960)"
800,"Parameswaran, Shri B.",Other,Madras,Former,,1 (1958–1964)
801,"Diwakar, Shri R.R.",Nominated,Nominated,Former,,"2 (1952–1952, 1962–1968)"
802,"Paranjpye, Smt. Shakuntala",Nominated,Nominated,Former,,1 (1964–1970)
803,"Raha, Shri Sanat Kumar",Communist Party of India,West Bengal,Former,,1 (1972–1978)
804,"Dinkar, Prof. Ramdhari Sinha",Congress,Bihar,Former,,"3 (1952–1954, 1954–1960, 1960–1964)"
805,"Parashar, Shri Vinaykumar Ramlal",Congress,Maharashtra,Former,,1 (1972–1978)
806,"Rahmathulla, Shri Mohammad",CONG(I),Andhra Pradesh,Former,,1 (1976–1982)
807,"Rahmath Ullah, Shri K. Muhammad",Congress,Madras,Former,,1 (1952–1954)
808,"Parbhu Singh, Shri",Janata,Haryana,Former,,1 (1974–1980)
809,"Dinesh Chandra, Shri Swami",CONG(I),Rajasthan,Former,,1 (1976–1982)
810,"Dikshit, Shri Umashankar",Congress,Uttar Pradesh,Former,,"3 (1961–1964, 1964–1970, 1970–1976)"
811,"Rahman, Shri Mohd. Khalleelur",Telugu Desam Party,Andhra Pradesh,Former,,"2 (1987–1988, 1988–1994)"
812,"Parikh, Shri Chandulal Pitamberdas",Congress,Bombay,Former,,"2 (1952–1954, 1954–1958)"
813,"Dikshit, Shri Jagdish Chandra",Congress,Uttar Pradesh,Former,,1 (1969–1970)
814,"Dhusiya, Shri Sohan Lal",CONG(I),Uttar Pradesh,Former,,1 (1984–1990)
815,"Parikh, Prof. Ramlal",Janata,Gujarat,Former,,1 (1975–1981)
816,"Dhulap, Shri Krishnarao Narayan",Peasants and Workers Party,Maharashtra,Former,,1 (1974–1980)
817,"Dhillon, Shri Guraj Singh",Shiromani Akali Dal,Punjab,Former,,1 (1952–1958)
818,"Parmanand, Dr.(Smt.) Seeta",Congress,Madhya Pradesh,Former,,"2 (1952–1958, 1958–1964)"
819,"Dhawan, Shri R.K.",Indian National Congress,Bihar,Former,88.0,"2 (1990–1996, 2004–2010)"
820,"Parthasarathy, Prof.(Smt) G.",Other,Madras,Former,,1 (1960–1966)
821,"Dharia, Shri Mohan Manikchand",Congress,Maharashtra,Former,,"2 (1964–1970, 1970–1976)"
822,"Parthasarathy, Shri R.T.",Other,Madras,Former,,1 (1966–1972)
823,"Dharam Prakash, Dr.",Congress,Uttar Pradesh,Former,,"2 (1958–1962, 1962–1968)"
824,"Parvathi Krishnan, Smt.",Other,Tamil Nadu,Former,,1 (1954–1960)
825,"Dharam Pal, Shri",CONG(I),Jammu & Kashmir,Former,,1 (1988–1994)
826,"Dharmavir, Shri",CONG(I),Uttar Pradesh,Former,,1 (1980–1986)
827,"Dhar, Shri D.P.",Congress,Jammu & Kashmir,Former,,1 (1972–1975)
828,"Dhage, Shri Venkat Krishna",Independent & Others,Bombay,Former,,
829,"Rai, Shri Kalp Nath",CONG(I),Uttar Pradesh,Former,,"3 (1974–1980, 1980–1986, 1986–1992)"
830,"Rai, Shri Ratna Bahadur",Communist Party of India (Marxist),West Bengal,Former,,"2 (1989–1990, 1990–1996)"
831,"Rajabhoj, Shri P. N.",Congress,Bombay,Former,,1 (1957–1962)
832,"Rajagopal, Shri M.",CONG(I),Karnataka,Former,,1 (1982–1988)
833,"Rajagopalan, Shri G.",Congress,Madras,Former,,"3 (1952–1958, 1958–1964, 1964–1970)"
834,"Vero, Shri Melhupra",Congress,Nagaland,Former,,"2 (1964–1968, 1968–1974)"
835,"Vijaivargiya, Shri Gopikrishna",Congress,Madhya Bharat,Former,,"2 (1954–1960, 1960–1966)"
836,"Vijay Bhushan, Shri Deosharan",Jansangh,Madhya Pradesh,Former,,1 (1970–1976)
837,"Vijay Singh, Shri",Congress,Rajasthan,Former,,"2 (1954–1960, 1960–1966)"
840,"Vijaya Raje, Kunwarani",Janata,Bihar,Former,,1 (1952–1957)
841,"Vikal, Shri Ram Chandra",CONG(I),Uttar Pradesh,Former,,1 (1984–1990)
842,"Villalan, Shri Thillai",Dravida Munnetra Kazhagam,Madras,Former,,1 (1968–1974)
843,"Vincent, Shri M.",All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,Former,,1 (1986–1992)
844,"Vora, Shri Motilal",Indian National Congress,Chhattisgarh,Former,97.0,"4 (1988–1994, 2002–2008, 2008–2014, 2014–2020)"
845,"Vyas, Shri Jai Narain",Congress,Rajasthan,Former,,"2 (1957–1960, 1960–1966)"
846,"Vyas, Shri Krishna Kant",Congress,Madhya Bharat,Former,,1 (1952–1956)
847,"Vyas, Dr. M.R.",Congress,Maharashtra,Former,,1 (1972–1978)
848,"Vyas, Shri Ramesh Chandra",Congress,Rajasthan,Former,,1 (1962–1968)
849,"Rajagopalan, Smt. G. Lalitha",Congress,Madras,Former,,1 (1965–1970)
850,"Rajah, Shri H. D.",Republican Party of India,Madras,Former,,"2 (1952–1958, 1958–1964)"
851,"Rajan, Shri Pattiam",Communist Party of India (Marxist),Kerala,Former,,1 (1976–1982)
852,"Rajangam, Shri N.",All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,Former,,1 (1984–1990)
853,"Rajasekharam, Shri Palavalasa",CONG(I),Andhra Pradesh,Former,,1 (1976–1982)
854,"Rajendra Singh Ishwar Singh, Shri",CONG(I),Madhya Pradesh,Former,,1 (1980–1982)
855,"Rajendran, Shri Sedapatti  Suryanarayana Thevar",Dravida Munnetra Kazhagam,Tamil Nadu,Former,,1 (1970–1976)
856,"Rajinder Kaur, Dr.(Smt.)",Shiromani Akali Dal,Punjab,Former,,1 (1978–1984)
857,"Rajnarain, Shri",Socialist Party,Uttar Pradesh,Former,,"2 (1966–1972, 1974–1980)"
858,"Raju, Shri Alluri Satyanarayana",Congress,Andhra Pradesh,Former,,"2 (1953–1954, 1954–1960)"
859,"Raju, Shri J. S.",Dravida Munnetra Kazhagam,Tamil Nadu,Former,,1 (1989–1995)
860,"Raju, Shri V. B.",Congress,Andhra Pradesh,Former,,"2 (1970–1976, 1976–1982)"
861,"Ram Chander, Shri",Congress,Haryana,Former,,1 (1966–1968)
862,"Ram Ratan Ram, Shri",Bharatiya Janata Party,Uttar Pradesh,Former,,1 (1992–1998)
863,"Ram Sahai, Shri",Congress,Madhya Pradesh,Former,,"3 (1956–1962, 1962–1968, 1968–1974)"
864,"Ram Singh, Sardar",Swatantra Party,Uttar Pradesh,Former,,1 (1964–1970)
865,"Ramachandran, Shri G.",Nominated,Nominated,Former,,1 (1964–1970)
866,"Ramachandran, Shri M. S.",CONG(I),Tamil Nadu,Former,,1 (1980–1986)
867,"Dhabe, Shri S.W.",Congress (S),Maharashtra,Former,,"2 (1974–1980, 1980–1986)"
868,"Dey, Shri S. K.",Indian National Congress,Delhi,Former,,1 (1957–1962)
869,"Devi Singh, Shri",Swatantra Party,Rajasthan,Former,,1 (1964–1970)
870,"Devegowda, Shri H.D.",Janata Dal (Secular),Karnataka,Sitting,92.0,"2 (1996–2002, 2020–2026)"
871,"Devaki Gopidas, Smt.",Congress,Karnataka,Former,,1 (1962–1968)
872,"Ramachandran, Shri S. K. T.",CONG(I),Tamil Nadu,Former,,1 (1989–1995)
873,"Deo, Shri V. Kishore Chandra S.",Congress (O),Andhra Pradesh,Former,,1 (1994–2000)
874,"Ramakrishnan, Shri R.",All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,Former,,1 (1980–1986)
875,"Ramamurthy, Shri Thindivanam K.",CONG(I),Nominated,Former,,1 (1984–1990)
876,"Ramamurti, Shri P.",Communist Party of India (Marxist),Tamil Nadu,Former,,"2 (1960–1966, 1977–1983)"
877,"Deshpande, Kumari Nirmala",Nominated,Nominated,Former,96.0,"2 (1997–1999, 2004–2010)"
878,"Deshmukh, Smt. Vimal Punjab",Congress,Maharashtra,Former,,1 (1967–1972)
879,"Deshmukh, Shri T.G.",Congress,Maharashtra,Former,,1 (1968–1974)
880,"Deshmukh, Shri Shankarrao Narayanarao",CONG(I),Maharashtra,Former,,1 (1984–1990)
881,"Ramamurti, Shri T. Nallamuthu",Congress,Madras,Former,,1 (1956–1962)
882,"Ramanathan, Shri V.",All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,Former,,1 (1984–1990)
883,"Ramaswamy, Shri K. S.",Congress,Madras,Former,,"2 (1962–1968, 1968–1974)"
884,"Ramaswamy, Shri V. V.",Other,Madras,Former,,1 (1967–1968)
885,"Ramaul, Shri Shiva Nand",Congress,Himachal Pradesh,Former,,1 (1962–1968)
