srno,member_name,party,state_ut,status,age,term
2044,"Elavarasan, Shri A.",All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,Former,73.0,1 (2007–2013)
2045,"Kanimozhi, Smt.",Dravida Munnetra Kazhagam,Tamil Nadu,Former,58.0,"2 (2007–2013, 2013–2019)"
2047,"Raja, Shri D.",Communist Party of India,Tamil Nadu,Former,76.0,"2 (2007–2013, 2013–2019)"
2048,"Rajan, Shri Ambeth",Bahujan Samaj Party,Uttar Pradesh,Former,69.0,"2 (2007–2010, 2010–2016)"
2049,"Ali, Dr. Ejaz",Janata Dal (United),Bihar,Former,67.0,1 (2008–2010)
2050,"Javadekar, Shri Prakash",Bharatiya Janata Party,Maharashtra,Former,74.0,"3 (2008–2014, 2014–2018, 2018–2024)"
2051,"Trivedi, Dr. Yogendra P.",Nationalist Congress Party,Maharashtra,Former,97.0,1 (2008–2014)
2052,"Raut, Dr. Bharatkumar",Shiv Sena,Maharashtra,Former,72.0,1 (2008–2014)
2053,"Waghmare, Dr. Janardhan",Nationalist Congress Party,Maharashtra,Former,91.0,1 (2008–2014)
2054,"Pradhan, Smt. Renubala",Biju Janata Dal,Odisha,Former,61.0,1 (2008–2014)
2055,"Mangala Kisan, Shri",Biju Janata Dal,Odisha,Former,78.0,1 (2008–2014)
2056,"Jinnah, Shri A.A.",Dravida Munnetra Kazhagam,Tamil Nadu,Former,84.0,1 (2008–2014)
2057,"Balaganga, Shri N.",All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,Former,75.0,1 (2008–2014)
2058,"Rangarajan, Shri T.K.",Communist Party of India (Marxist),Tamil Nadu,Former,84.0,"2 (2008–2014, 2014–2020)"
2059,"Stanley, Smt. Vasanthi",Dravida Munnetra Kazhagam,Tamil Nadu,Former,63.0,1 (2008–2014)
2060,"Malihabadi, Shri Ahmad Saeed",Independent & Others,West Bengal,Former,95.0,1 (2008–2014)
2061,"Chakraborty, Shri Shyamal",Communist Party of India (Marxist),West Bengal,Former,81.0,1 (2008–2014)
2064,"Baishya, Shri Birendra Prasad",Asom Gana Parishad,Assam,Sitting,69.0,"3 (2008–2014, 2019–2025, 2025–2031)"
2065,"Daimary, Shri Biswajit",Bharatiya Janata Party,Assam,Former,54.0,
2066,"Khan, Shri Mohd. Ali",Indian National Congress,Andhra Pradesh,Former,78.0,"2 (2008–2014, 2014–2020)"
2067,"Ratna Bai, Smt. T.",Indian National Congress,Andhra Pradesh,Former,79.0,1 (2008–2014)
2068,"Rao, Dr. K.V.P. Ramachandra",Indian National Congress,Telangana,Former,77.0,"3 (2008–2014, 2014–2014, 2014–2020)"
2070,"Singh, Shri Shivpratap",Bharatiya Janata Party,Chhattisgarh,Former,83.0,1 (2008–2014)
2071,"Thakor, Shri Natuji Halaji",Bharatiya Janata Party,Gujarat,Former,65.0,1 (2008–2014)
2072,"Rupala, Shri Parshottam",Bharatiya Janata Party,Gujarat,Former,71.0,"3 (2008–2014, 2016–2018, 2018–2024)"
2073,"Parmar, Shri Bharatsinh Prabhatsinh",Bharatiya Janata Party,Gujarat,Former,67.0,1 (2008–2014)
2074,"Singh, Shri Ishwar",Indian National Congress,Haryana,Former,75.0,1 (2008–2014)
2075,"Mathur, Shri Om Prakash",Bharatiya Janata Party,Rajasthan,Former,74.0,"2 (2008–2014, 2016–2022)"
2076,"Thakur, Dr. C.P.",Bharatiya Janata Party,Bihar,Former,94.0,"2 (2008–2014, 2014–2020)"
2077,"Tiwari, Shri Shivanand",Janata Dal (United),Bihar,Former,82.0,1 (2008–2014)
2078,"Singh, Shri N. K.",Janata Dal (United),Bihar,Former,84.0,1 (2008–2014)
2079,"Ali, Shri Sabir",Janata Dal (United),Bihar,Former,55.0,"2 (2008–2014, 2011–2014)"
2080,"Singh, Shri Jai Prakash Narayan",Bharatiya Janata Party,Jharkhand,Former,77.0,1 (2008–2014)
2081,"Nathwani, Shri Parimal",Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,Sitting,69.0,"3 (2008–2014, 2014–2020, 2020–2026)"
2082,"Jha, Shri Prabhat",Bharatiya Janata Party,Madhya Pradesh,Former,68.0,"2 (2008–2014, 2014–2020)"
2083,"Sharma, Shri Raghunandan",Bharatiya Janata Party,Madhya Pradesh,Former,79.0,1 (2008–2014)
2084,"Sangma, Shri Thomas",Nationalist Congress Party,Meghalaya,Former,64.0,1 (2008–2014)
2085,"Nandamuri Harikrishna, Shri",Telugu Desam Party,Andhra Pradesh,Former,69.0,1 (2008–2014)
2086,"Shanta Kumar, Shri",Bharatiya Janata Party,Himachal Pradesh,Former,91.0,1 (2008–2014)
2087,"Mukut Mithi, Shri",Indian National Congress,Arunachal Pradesh,Former,74.0,"2 (2008–2014, 2014–2020)"
2088,"Singh, Shri R.C.",Communist Party of India,West Bengal,Former,81.0,1 (2008–2012)
2089,"Lad, Shri Anil H.",Indian National Congress,Karnataka,Former,52.0,1 (2008–2014)
2092,"Jois, Shri M. Rama",Bharatiya Janata Party,Karnataka,Former,94.0,1 (2008–2014)
2093,"Rudy, Shri Rajiv Pratap",Bharatiya Janata Party,Bihar,Former,63.0,"2 (2008–2010, 2010–2016)"
2094,"Zhimomi, Shri Khekiho",Nagaland Peoples Front,Nagaland,Former,79.0,"2 (2008–2010, 2010–2016)"
2095,"Rangarajan, Dr. C.",Nominated,Nominated,Former,94.0,1 (2008–2010)
2096,"Karimpuri, Shri Avtar Singh",Bahujan Samaj Party,Uttar Pradesh,Former,61.0,1 (2008–2014)
2097,"Rai, Smt. Kusum",Bharatiya Janata Party,Uttar Pradesh,Former,57.0,1 (2008–2014)
2098,"Khabri, Shri Brijlal",Bahujan Samaj Party,Uttar Pradesh,Former,64.0,1 (2008–2014)
2099,"Pathak, Shri Brajesh",Bahujan Samaj Party,Uttar Pradesh,Former,61.0,1 (2008–2014)
2100,"Rajaram, Shri",Bahujan Samaj Party,Uttar Pradesh,Former,57.0,"2 (2008–2014, 2014–2020)"
2101,"Adeeb, Shri Mohammed",Independent & Others,Uttar Pradesh,Former,80.0,1 (2008–2014)
2102,"Koshyari, Shri Bhagat Singh",Bharatiya Janata Party,Uttarakhand,Former,83.0,1 (2008–2014)
2103,"Tomer, Shri Narendra Singh",Bharatiya Janata Party,Madhya Pradesh,Former,,1 (2009–2010)
2104,"Shafi, Shri Mohammad",J&K National Conference,Jammu & Kashmir,Former,82.0,1 (2009–2015)
2105,"Achuthan, Shri M.P.",Communist Party of India,Kerala,Former,77.0,1 (2009–2015)
2106,"Rajeeve, Shri P.",Communist Party of India (Marxist),Kerala,Former,58.0,1 (2009–2015)
2107,"Sahu, Shri Dhiraj Prasad",Indian National Congress,Jharkhand,Former,70.0,"3 (2009–2010, 2010–2016, 2018–2024)"
2108,"Soren, Shri Hemant",Jharkhand Mukti Morcha,Jharkhand,Former,,1 (2009–2010)
2109,"Ganga Charan, Shri",Bahujan Samaj Party,Uttar Pradesh,Former,65.0,1 (2009–2012)
2110,"Pal, Shri Shriram",Bahujan Samaj Party,Uttar Pradesh,Former,,1 (2009–2010)
2111,"Fernandes, Shri George",Janata Dal (United),Bihar,Former,95.0,1 (2009–2010)
2112,"Sai, Shri Nand Kumar",Bharatiya Janata Party,Chhattisgarh,Former,80.0,"2 (2009–2010, 2010–2016)"
2113,"Batra, Shri Shadi Lal",Indian National Congress,Haryana,Former,86.0,"2 (2009–2012, 2012–2018)"
2114,"Ratanpuri, Shri G. N.",J&K National Conference,Jammu & Kashmir,Former,71.0,1 (2009–2015)
2115,"Dave, Shri Anil Madhav",Bharatiya Janata Party,Madhya Pradesh,Former,69.0,"3 (2009–2010, 2010–2016, 2016–2022)"
2116,"Solanki, Shri Kaptan Singh",Bharatiya Janata Party,Madhya Pradesh,Former,86.0,"2 (2009–2012, 2012–2018)"
2117,"Mohite-Patil, Shri Ranjitsinh Vijaysinh",Nationalist Congress Party,Maharashtra,Former,53.0,1 (2009–2012)
2118,"Deshmukh, Shri Vilasrao Dagadojirao",Indian National Congress,Maharashtra,Former,80.0,"2 (2009–2012, 2012–2018)"
2120,"Budania, Shri Narendra",Indian National Congress,Rajasthan,Former,69.0,"3 (2009–2010, 2010–2012, 2012–2018)"
2121,"Prakash, Shri Jai",Bahujan Samaj Party,Uttar Pradesh,Former,67.0,1 (2009–2012)
2122,"Hashmi, Shri Parvez",Indian National Congress,National Capital Territory of Delhi,Former,71.0,"2 (2009–2012, 2012–2018)"
2123,"Mohanty, Shri Kishore Kumar",Biju Janata Dal,Odisha,Former,67.0,1 (2009–2012)
2125,"Kannan, Shri P.",Indian National Congress,Puducherry,Former,76.0,1 (2009–2015)
2126,"Dua, Shri H.K.",Nominated,Nominated,Former,88.0,1 (2009–2015)
2127,"Ganguly, Dr. Ashok S.",Nominated,Nominated,Former,90.0,1 (2009–2015)
2128,"Sahani, Dr. Anil Kumar",Janata Dal (United),Bihar,Former,62.0,"2 (2010–2012, 2012–2018)"
2129,"Naik, Shri Pravin",Bharatiya Janata Party,Gujarat,Former,89.0,1 (2010–2011)
2130,"Agrawal, Shri Naresh",Samajwadi Party,Uttar Pradesh,Former,74.0,"2 (2010–2012, 2012–2018)"
2131,"Jayashree, Smt. B.",Nominated,Nominated,Former,75.0,1 (2010–2016)
2132,"Akhtar, Shri Javed",Nominated,Nominated,Former,81.0,1 (2010–2016)
2133,"Aiyar, Shri Mani Shankar",Indian National Congress,Nominated,Former,84.0,1 (2010–2016)
2134,"Munda, Dr. Ram Dayal",Indian National Congress,Nominated,Former,86.0,1 (2010–2016)
2135,"Mungekar, Dr. Bhalchandra",Indian National Congress,Nominated,Former,79.0,1 (2010–2016)
